term	canonical	roles	primary_role	sources	source_types	parent_types	confidence	source_count	entry_count	provenance
blueviolet	blueviolet	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
bluish	bluish	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
bone	bone	material_attribute	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1	modifier_attributes_clean
braided	braided	texture_attribute	texture_attribute	dtd|vaw	other|texture	other|texture	high	2	2	modifier_attributes_clean
brass	brass	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
brick	brick	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
bright	bright	brightness_attribute	brightness_attribute	ovad|vaw	brightness|hair tone|tone	brightness|tone	high	2	3	modifier_attributes_clean
bright blue	bright blue	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
bright green	bright green	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
bright red	bright red	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
bright yellow	bright yellow	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
broad	broad	size_attribute	size_attribute	vaw	width	width	high	1	1	modifier_attributes_clean
broken	broken	state_attribute	state_attribute	ovad|vaw	other|state	other|state	high	2	2	modifier_attributes_clean
bronze	bronze	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
brown	brown	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
brown haired	brown haired	color_attribute	color_attribute	vaw	hair color	hair color	high	1	1	modifier_attributes_clean
bubbly	bubbly	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
bulky	bulky	size_attribute	size_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
bumpy	bumpy	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
burgundy	burgundy	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
burlywood	burlywood	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cadetblue	cadetblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
camouflage	camouflage	pattern_attribute	pattern_attribute	fashionpedia|vaw	other|textile pattern	other|textile pattern	medium	2	2	modifier_attributes_clean
captive	captive	state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
cardboard	cardboard	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
cartoon	cartoon	pattern_attribute	pattern_attribute	fashionpedia|vaw	other|textile pattern	other|textile pattern	medium	2	2	modifier_attributes_clean
cement	cement	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
ceramic	ceramic	material_attribute	material_attribute	coco_attributes|ovad|paco|vaw	material|object_attribute	clean_exact_overlap|material	high	4	4	coco_high_typed|modifier_attributes_clean
chartreuse	chartreuse	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
check	check	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
checkered	checkered	pattern_attribute	pattern_attribute	ovad|paco|vaw	clothes pattern|pattern|pattern marking	pattern|pattern marking	high	3	4	modifier_attributes_clean
chequered	chequered	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
chevron	chevron	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
chocolate	chocolate	color_attribute|material_attribute	color_attribute	css_color_4|vaw	color|material	color|material	high	2	2	modifier_attributes_clean
choppy	choppy	texture_attribute	texture_attribute	vaw	texture	texture	high	1	1	modifier_attributes_clean
chrome	chrome	material_attribute	material_attribute	vaw	material	material	high	1	1	modifier_attributes_clean
circular	circular	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
clay	clay	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
clean	clean	condition_attribute	condition_attribute	coco_attributes|ovad|vaw	cleanliness|object_attribute	clean_exact_overlap|cleanliness	high	3	3	coco_high_typed|modifier_attributes_clean
clear	clear	weather_attribute	weather_attribute	vaw	opaqeness|weather	opaqeness|weather	high	1	2	modifier_attributes_clean
closed	closed	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|state	clean_exact_overlap|state	high	3	3	coco_high_typed|modifier_attributes_clean
cloth	cloth	material_attribute	material_attribute	coco_attributes|ovad|vaw	material|object_attribute	clean_exact_overlap|material	high	3	3	coco_high_typed|modifier_attributes_clean
cloudless	cloudless	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
cloudy	cloudy	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
cobblestone	cobblestone	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
cobwebbed	cobwebbed	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
colorful	colorful	color_attribute	color_attribute	ovad|vaw	color quantity	color quantity	high	2	2	modifier_attributes_clean
colorless	colorless	color_attribute	color_attribute	vaw	color quantity	color quantity	high	1	1	modifier_attributes_clean
compact	compact	size_attribute	size_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
concrete	concrete	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
conical	conical	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
copper zinc	copper zinc	material_attribute	material_attribute	ovad	material	material	high	1	1	modifier_attributes_clean
coral	coral	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cornflowerblue	cornflowerblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cornsilk	cornsilk	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cotton	cotton	material_attribute	material_attribute	ovad	material	material	high	1	1	modifier_attributes_clean
covered	covered	state_attribute	state_attribute	coco_attributes|ovad	object_attribute|state	clean_exact_overlap|state	high	2	2	coco_high_typed|modifier_attributes_clean
cracked	cracked	state_attribute|texture_attribute	texture_attribute	dtd|ovad|vaw	state|texture	state|texture	high	3	3	modifier_attributes_clean
cream colored	cream colored	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
crimson	crimson	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
crochet	crochet	material_attribute	material_attribute	paco	material	material	high	1	1	modifier_attributes_clean
crocodile	crocodile	material_attribute	material_attribute	fashionpedia	leather	leather	medium	1	1	modifier_attributes_clean
crosshatched	crosshatched	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
crouching	crouching	pose_attribute	pose_attribute	coco_attributes|vaw	object_attribute|pose	clean_exact_overlap|pose	high	2	2	coco_high_typed|modifier_attributes_clean
crumpled / wrinkled	crumpled / wrinkled	texture_attribute	texture_attribute	coco_attributes	object_attribute	clean_alias_exact_match	high	1	1	coco_high_typed
crystalline	crystalline	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
cubed	cubed	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
curled	curled	shape_attribute	shape_attribute	coco_attributes|ovad|vaw	hair type|object_attribute|shape	clean_exact_overlap|shape|type	high	3	3	coco_high_typed|modifier_attributes_clean
curly	curly	shape_attribute	shape_attribute	ovad|vaw	hair type|shape	shape|type	high	2	2	modifier_attributes_clean
curved	curved	shape_attribute	shape_attribute	coco_attributes|vaw	object_attribute|shape	clean_exact_overlap|shape	high	2	2	coco_high_typed|modifier_attributes_clean
cut	cut	state_attribute	state_attribute	ovad|vaw	other|state	other|state	high	2	2	modifier_attributes_clean
cyan	cyan	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cylindrical	cylindrical	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
dark	dark	brightness_attribute	brightness_attribute	ovad|vaw	brightness|hair tone|tone	brightness|tone	high	2	4	modifier_attributes_clean
dark blue	dark blue	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark brown	dark brown	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark gray	dark gray	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
dark green	dark green	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark grey	dark grey	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
dark haired	dark haired	color_attribute	color_attribute	vaw	hair color	hair color	high	1	1	modifier_attributes_clean
dark orange	dark orange	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
dark pink	dark pink	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark purple	dark purple	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark red	dark red	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark skinned	dark skinned	color_attribute	color_attribute	vaw	skin color	skin color	high	1	1	modifier_attributes_clean
dark yellow	dark yellow	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
darkblue	darkblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkcyan	darkcyan	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkgoldenrod	darkgoldenrod	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkgray	darkgray	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkgreen	darkgreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkgrey	darkgrey	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkkhaki	darkkhaki	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkmagenta	darkmagenta	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkolivegreen	darkolivegreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkorange	darkorange	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkorchid	darkorchid	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkred	darkred	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darksalmon	darksalmon	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkseagreen	darkseagreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkslateblue	darkslateblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkslategray	darkslategray	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkslategrey	darkslategrey	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkturquoise	darkturquoise	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkviolet	darkviolet	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
deep	deep	size_attribute	size_attribute	vaw	depth	depth	high	1	1	modifier_attributes_clean
deeppink	deeppink	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
deepskyblue	deepskyblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
denim	denim	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
diamond shaped	diamond shaped	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
dilapidated	dilapidated	state_attribute	state_attribute	ovad|vaw	state	state	high	2	2	modifier_attributes_clean
dimgray	dimgray	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
dimgrey	dimgrey	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
dirt	dirt	condition_attribute|material_attribute	material_attribute	ovad|vaw	cleanliness|material	cleanliness|material	high	2	2	modifier_attributes_clean
dirty	dirty	condition_attribute	condition_attribute	coco_attributes|ovad|vaw	cleanliness|object_attribute	clean_exact_overlap|cleanliness	high	3	3	coco_high_typed|modifier_attributes_clean
dodgerblue	dodgerblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
domed	domed	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
dot	dot	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
dotted	dotted	pattern_attribute|texture_attribute	pattern_attribute	dtd|ovad|paco|vaw	clothes pattern|pattern|pattern marking|texture	pattern|pattern marking|texture	high	4	5	modifier_attributes_clean
dry	dry	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|state	clean_exact_overlap|state	high	3	3	coco_high_typed|modifier_attributes_clean
dusty	dusty	condition_attribute	condition_attribute	vaw	cleanliness	cleanliness	high	1	1	modifier_attributes_clean
elbow length	elbow length	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
empty	empty	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|state	clean_exact_overlap|state	high	3	3	coco_high_typed|modifier_attributes_clean
fabric	fabric	material_attribute	material_attribute	ovad|paco|vaw	material	material	high	3	3	modifier_attributes_clean
fair isle	fair isle	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
fat	fat	size_attribute	size_attribute	vaw	fatness|size	fatness|size	high	1	2	modifier_attributes_clean
feather	feather	material_attribute	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1	modifier_attributes_clean
fibrous	fibrous	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
firebrick	firebrick	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
flat	flat	shape_attribute	shape_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
flecked	flecked	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
floating	floating	state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
floor (length)	floor (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
floral	floral	pattern_attribute	pattern_attribute	fashionpedia|ovad|paco|vaw	clothes pattern|pattern|pattern marking|textile pattern	pattern|pattern marking|textile pattern	high	4	5	modifier_attributes_clean
floralwhite	floralwhite	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
fluffy	fluffy	material_attribute|texture_attribute	material_attribute	coco_attributes|ovad|vaw	material|object_attribute|texture	clean_exact_overlap|material|texture	high	3	3	coco_high_typed|modifier_attributes_clean
foamy	foamy	material_attribute	material_attribute	vaw	material	material	high	1	1	modifier_attributes_clean
foggy	foggy	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
folded	folded	state_attribute	state_attribute	ovad|vaw	state	state	high	2	2	modifier_attributes_clean
forestgreen	forestgreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
freckled	freckled	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
frilly	frilly	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
fuchsia	fuchsia	color_attribute	color_attribute	css_color_4|vaw	color	color	high	2	2	modifier_attributes_clean
full	full	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|state	clean_exact_overlap|state	high	3	3	coco_high_typed|modifier_attributes_clean
fur	fur	material_attribute	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1	modifier_attributes_clean
furry	furry	material_attribute|texture_attribute	material_attribute	coco_attributes|ovad|vaw	material|object_attribute|texture	clean_exact_overlap|material|texture	high	3	3	coco_high_typed|modifier_attributes_clean
fuzzy	fuzzy	texture_attribute	texture_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
gainsboro	gainsboro	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
gauzy	gauzy	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
gem	gem	material_attribute	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1	modifier_attributes_clean
geometric	geometric	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
ghostwhite	ghostwhite	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
giant	giant	size_attribute	size_attribute	ovad|vaw	size	size	high	2	2	modifier_attributes_clean
glass	glass	material_attribute	material_attribute	ovad|paco|vaw	material	material	high	3	3	modifier_attributes_clean
gold	gold	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
golden	golden	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
golden brown	golden brown	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
goldenrod	goldenrod	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
granite	granite	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
gravel	gravel	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
gray	gray	color_attribute	color_attribute	css_color_4|ovad|vaw	clothes color|color|hair color	color	high	3	5	modifier_attributes_clean
green	green	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
green tinted	green tinted	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
greenyellow	greenyellow	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
grey	grey	color_attribute	color_attribute	css_color_4|paco	color	color	high	2	2	modifier_attributes_clean
grid	grid	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
grooved	grooved	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
hairy	hairy	texture_attribute	texture_attribute	coco_attributes|ovad|vaw	object_attribute|other|texture	clean_exact_overlap|other|texture	high	3	3	coco_high_typed|modifier_attributes_clean
hanging	hanging	pose_attribute|state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
hard	hard	texture_attribute	texture_attribute	coco_attributes|vaw	hardness|object_attribute	clean_exact_overlap|hardness	high	2	2	coco_high_typed|modifier_attributes_clean
hardwood	hardwood	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
hazy	hazy	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
heart shaped	heart shaped	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
herringbone (pattern)	herringbone (pattern)	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
high	high	size_attribute	size_attribute	vaw	height	height	high	1	1	modifier_attributes_clean
hip (length)	hip (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
honeycombed	honeycombed	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
honeydew	honeydew	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
hotpink	hotpink	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
houndstooth (pattern)	houndstooth (pattern)	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
huge	huge	size_attribute	size_attribute	ovad|vaw	size	size	high	2	2	modifier_attributes_clean
indianred	indianred	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
indigo	indigo	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
interlaced	interlaced	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
iron	iron	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
ivory	ivory	color_attribute|material_attribute	color_attribute	css_color_4|fashionpedia|vaw	color|non textile material type	color|non textile material type	high	3	3	modifier_attributes_clean
jagged	jagged	texture_attribute	texture_attribute	vaw	texture	texture	high	1	1	modifier_attributes_clean
jean	jean	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
jumping	jumping	pose_attribute	pose_attribute	coco_attributes|vaw	object_attribute|pose	clean_exact_overlap|pose	high	2	2	coco_high_typed|modifier_attributes_clean
khaki	khaki	color_attribute|material_attribute	color_attribute	css_color_4|vaw	color|material	color|material	high	2	2	modifier_attributes_clean
knee (length)	knee (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
kneeling	kneeling	pose_attribute	pose_attribute	vaw	pose	pose	high	1	1	modifier_attributes_clean
knitted	knitted	texture_attribute	texture_attribute	dtd|vaw	other|texture	other|texture	high	2	2	modifier_attributes_clean
lacelike	lacelike	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
landing	landing	state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
large	large	size_attribute	size_attribute	coco_attributes|ovad|vaw	object_attribute|size	clean_exact_overlap|size	high	3	3	coco_high_typed|modifier_attributes_clean
larger	larger	size_attribute	size_attribute	vaw	size comparison	size comparison	high	1	1	modifier_attributes_clean
lavender	lavender	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lavenderblush	lavenderblush	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lawngreen	lawngreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
laying	laying	pose_attribute	pose_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
leaning	leaning	pose_attribute	pose_attribute	coco_attributes|vaw	object_attribute|pose	clean_exact_overlap|pose	high	2	2	coco_high_typed|modifier_attributes_clean
leaning back	leaning back	pose_attribute	pose_attribute	vaw	pose	pose	high	1	1	modifier_attributes_clean
leaping	leaping	pose_attribute	pose_attribute	vaw	pose	pose	high	1	1	modifier_attributes_clean
leashed	leashed	state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
leather	leather	material_attribute	material_attribute	coco_attributes|ovad|paco|vaw	material|object_attribute	clean_exact_overlap|material	high	4	4	coco_high_typed|modifier_attributes_clean
lemonchiffon	lemonchiffon	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
lettered	lettered	pattern_attribute	pattern_attribute	ovad	clothes pattern|pattern	pattern	high	1	2	modifier_attributes_clean
letters, numbers	letters, numbers	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
light blue	light blue	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
light brown	light brown	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
light gray	light gray	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
light green	light green	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
light grey	light grey	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
light orange	light orange	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
light pink	light pink	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
light purple	light purple	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
light red	light red	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
light skinned	light skinned	color_attribute	color_attribute	vaw	skin color	skin color	high	1	1	modifier_attributes_clean
light yellow	light yellow	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
