term	canonical	confidence	sources	source_count	variant_of	synsets	rule_id
arm pads	arm_pad	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	arm pad	arm_guard.n.01|wordnet_noun	vg_object_synset_plus_wordnet
armored combat vehicle	armored_combat_vehicle	high	lvis_object|wordnet_noun_mwe	2		tank.n.01|wordnet_noun	trusted_visual_object_label
armored combat vehicles	armored_combat_vehicle	high	lvis_object|plural_variant|wordnet_noun_mwe	2	armored combat vehicle	tank.n.01|wordnet_noun	trusted_visual_object_label
armoured combat vehicle	armoured_combat_vehicle	high	lvis_object|wordnet_noun_mwe	2		tank.n.01|wordnet_noun	trusted_visual_object_label
armoured combat vehicles	armoured_combat_vehicle	high	lvis_object|plural_variant|wordnet_noun_mwe	2	armoured combat vehicle	tank.n.01|wordnet_noun	trusted_visual_object_label
army tank	army_tank	high	lvis_object|wordnet_noun_mwe	2		tank.n.01|wordnet_noun	trusted_visual_object_label
army tanks	army_tank	high	lvis_object|plural_variant|wordnet_noun_mwe	2	army tank	tank.n.01|wordnet_noun	trusted_visual_object_label
art galleries	art_gallery	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	art gallery	gallery.n.03|wordnet_noun	vg_object_synset_plus_wordnet
art gallery	art_gallery	high	visual_genome_object_synset|wordnet_noun_mwe	2		gallery.n.03|wordnet_noun	vg_object_synset_plus_wordnet
artichoke heart	artichoke_heart	high	visual_genome_object_synset|wordnet_noun_mwe	2		artichoke_heart.n.01|wordnet_noun	vg_object_synset_plus_wordnet
artichoke hearts	artichoke_heart	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	artichoke heart	artichoke_heart.n.01|wordnet_noun	vg_object_synset_plus_wordnet
articulated lorries	articulated_lorry	high	lvis_object|plural_variant|wordnet_noun_mwe	2	articulated lorry	trailer_truck.n.01|wordnet_noun	trusted_visual_object_label
articulated lorry	articulated_lorry	high	lvis_object|wordnet_noun_mwe	2		trailer_truck.n.01|wordnet_noun	trusted_visual_object_label
ash can	ash_can	high	wordnet_noun_mwe	1		wordnet_noun	wordnet_trusted_visual_head
ash cans	ash_can	high	plural_variant|wordnet_noun_mwe	1	ash can	wordnet_noun	wordnet_trusted_visual_head
athletic sock	athletic_sock	high	visual_genome_object_synset|wordnet_noun_mwe	2		sock.n.01|wordnet_noun	vg_object_synset_plus_wordnet
athletic socks	athletic_sock	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	athletic sock	sock.n.01|wordnet_noun	vg_object_synset_plus_wordnet
athletic wear	athletic_wear	high	lvis_object|wordnet_noun_mwe	2		sportswear.n.01|wordnet_noun	trusted_visual_object_label
athletic wears	athletic_wear	high	lvis_object|plural_variant|wordnet_noun_mwe	2	athletic wear	sportswear.n.01|wordnet_noun	trusted_visual_object_label
atlantic ocean	atlantic_ocean	high	visual_genome_object_synset|wordnet_noun_mwe	2		ocean.n.01|wordnet_noun	vg_object_synset_plus_wordnet
atlantic oceans	atlantic_ocean	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	atlantic ocean	ocean.n.01|wordnet_noun	vg_object_synset_plus_wordnet
attache case	attache_case	high	visual_genome_object_synset|wordnet_noun_mwe	2		attache_case.n.01|wordnet_noun	vg_object_synset_plus_wordnet
attache cases	attache_case	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	attache case	attache_case.n.01|wordnet_noun	vg_object_synset_plus_wordnet
attack aircraft	attack_aircraft	high	lvis_object|wordnet_noun_mwe	2		fighter.n.02|wordnet_noun	trusted_visual_object_label
attack aircrafts	attack_aircraft	high	lvis_object|plural_variant|wordnet_noun_mwe	2	attack aircraft	fighter.n.02|wordnet_noun	trusted_visual_object_label
audio system	audio_system	high	visual_genome_object_synset|wordnet_noun_mwe	2		system.n.01|wordnet_noun	vg_object_synset_plus_wordnet
audio systems	audio_system	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	audio system	system.n.01|wordnet_noun	vg_object_synset_plus_wordnet
auto (automobile)	auto_automobile	high	lvis_object	1		car.n.01	trusted_visual_object_label
auto automobiles	auto_automobile	high	lvis_object|plural_variant	1	auto (automobile)	car.n.01	trusted_visual_object_label
automatic washer	automatic_washer	high	lvis_object|wordnet_noun_mwe	2		washer.n.03|wordnet_noun	trusted_visual_object_label
automatic washers	automatic_washer	high	lvis_object|plural_variant|wordnet_noun_mwe	2	automatic washer	washer.n.03|wordnet_noun	trusted_visual_object_label
automobile batteries	automobile_battery	high	lvis_object|plural_variant|wordnet_noun_mwe	2	automobile battery	car_battery.n.01|wordnet_noun	trusted_visual_object_label
automobile battery	automobile_battery	high	lvis_object|wordnet_noun_mwe	2		car_battery.n.01|wordnet_noun	trusted_visual_object_label
automotive vehicle	automotive_vehicle	high	lvis_object|wordnet_noun_mwe	2		motor_vehicle.n.01|wordnet_noun	trusted_visual_object_label
automotive vehicles	automotive_vehicle	high	lvis_object|plural_variant|wordnet_noun_mwe	2	automotive vehicle	motor_vehicle.n.01|wordnet_noun	trusted_visual_object_label
back burner	back_burner	high	visual_genome_object_synset|wordnet_noun_mwe	2		burner.n.01|wordnet_noun	vg_object_synset_plus_wordnet
back burners	back_burner	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	back burner	burner.n.01|wordnet_noun	vg_object_synset_plus_wordnet
back door	back_door	high	visual_genome_object_synset|wordnet_noun_mwe	2		door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
back doors	back_door	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	back door	door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
back end	back_end	high	visual_genome_object_synset|wordnet_noun_mwe	2		end.n.01|wordnet_noun	vg_object_synset_plus_wordnet
back ends	back_end	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	back end	end.n.01|wordnet_noun	vg_object_synset_plus_wordnet
back pack	back_pack	high	visual_genome_object_synset|wordnet_noun_mwe	2		battalion.n.02|wordnet_noun	vg_object_synset_plus_wordnet
back packs	back_pack	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	back pack	battalion.n.02|wordnet_noun	vg_object_synset_plus_wordnet
backspace key	backspace_key	high	visual_genome_object_synset|wordnet_noun_mwe	2		key.n.01|wordnet_noun	vg_object_synset_plus_wordnet
backspace keys	backspace_key	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	backspace key	key.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bacon strips	bacon_strip	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	bacon strip	bacon_strip.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baggage car	baggage_car	high	visual_genome_object_synset|wordnet_noun_mwe	2		baggage_car.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baggage cars	baggage_car	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	baggage car	baggage_car.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baggage claim	baggage_claim	high	visual_genome_object_synset|wordnet_noun_mwe	2		baggage_claim.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baggage claims	baggage_claim	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	baggage claim	baggage_claim.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baked goods	baked_goods	high	openimages_boxable|visual_genome_object_synset|wordnet_noun_mwe	3		good.n.01|wordnet_noun	trusted_visual_object_label
baked potato	baked_potato	high	visual_genome_object_synset|wordnet_noun_mwe	2		potato.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baked potatos	baked_potato	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	baked potato	potato.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baking soda	baking_soda	high	visual_genome_object_synset|wordnet_noun_mwe	2		sodium_carbonate.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baking sodas	baking_soda	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	baking soda	sodium_carbonate.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baking tray	baking_tray	high	visual_genome_object_synset|wordnet_noun_mwe	2		tray.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baking trays	baking_tray	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	baking tray	tray.n.01|wordnet_noun	vg_object_synset_plus_wordnet
balance beam	balance_beam	high	openimages_boxable|wordnet_noun_mwe	2		wordnet_noun	trusted_visual_object_label
balance beams	balance_beam	high	openimages_boxable|plural_variant|wordnet_noun_mwe	2	balance beam	wordnet_noun	trusted_visual_object_label
ball (object)	ball_object	high	openimages_boxable	1			trusted_visual_object_label
ball boy	ball_boy	high	visual_genome_object_synset|wordnet_noun_mwe	2		ball_boy.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ball boys	ball_boy	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ball boy	ball_boy.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ball field	ball_field	high	visual_genome_object_synset|wordnet_noun_mwe	2		ball_field.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ball fields	ball_field	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	ball field	ball_field.n.01|wordnet_noun	vg_object_synset_plus_wordnet
ball objects	ball_object	high	openimages_boxable|plural_variant	1	ball (object)		trusted_visual_object_label
ballet skirt	ballet_skirt	high	lvis_object|wordnet_noun_mwe	2		ballet_skirt.n.01|wordnet_noun	trusted_visual_object_label
ballet skirts	ballet_skirt	high	lvis_object|plural_variant|wordnet_noun_mwe	2	ballet skirt	ballet_skirt.n.01|wordnet_noun	trusted_visual_object_label
banana bread	banana_bread	high	visual_genome_object_synset|wordnet_noun_mwe	2		banana_bread.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana breads	banana_bread	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	banana bread	banana_bread.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana peel	banana_peel	high	visual_genome_object_synset|wordnet_noun_mwe	2		banana_peel.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana peels	banana_peel	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	banana peel	banana.n.01|banana_peel.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana republic	banana_republic	high	visual_genome_object_synset|wordnet_noun_mwe	2		banana_republic.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana republics	banana_republic	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	banana republic	banana_republic.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana skin	banana_skin	high	visual_genome_object_synset|wordnet_noun_mwe	2		banana_peel.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana skins	banana_skin	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	banana skin	banana_peel.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana split	banana_split	high	visual_genome_object_synset|wordnet_noun_mwe	2		banana_split.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana splits	banana_split	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	banana split	banana_split.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana tree	banana_tree	high	visual_genome_object_synset|wordnet_noun_mwe	2		banana.n.01|wordnet_noun	vg_object_synset_plus_wordnet
banana trees	banana_tree	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	banana tree	banana.n.01|wordnet_noun	vg_object_synset_plus_wordnet
band aid	band_aid	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		band_aid.n.01|band_aid.n.02|wordnet_noun	trusted_visual_object_label
band aids	band_aid	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	band aid	band_aid.n.01|band_aid.n.02|wordnet_noun	trusted_visual_object_label
band-aid	band_aid	high	openimages_boxable	1			trusted_visual_object_label
bar soap	bar_soap	high	visual_genome_object_synset|wordnet_noun_mwe	2		bar_soap.n.01|wordnet_noun	vg_object_synset_plus_wordnet
bar soaps	bar_soap	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	bar soap	bar_soap.n.01|wordnet_noun	vg_object_synset_plus_wordnet
barbecue pit	barbecue_pit	high	visual_genome_object_synset|wordnet_noun_mwe	2		barbecue_pit.n.01|wordnet_noun	vg_object_synset_plus_wordnet
barbecue pits	barbecue_pit	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	barbecue pit	barbecue_pit.n.01|wordnet_noun	vg_object_synset_plus_wordnet
barbecue sauce	barbecue_sauce	high	visual_genome_object_synset|wordnet_noun_mwe	2		barbecue_sauce.n.01|wordnet_noun	vg_object_synset_plus_wordnet
barbecue sauces	barbecue_sauce	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	barbecue sauce	barbecue_sauce.n.01|wordnet_noun	vg_object_synset_plus_wordnet
barbed wire	barbed_wire	high	visual_genome_object_synset|wordnet_noun_mwe	2		wire.n.01|wordnet_noun	vg_object_synset_plus_wordnet
barbed wires	barbed_wire	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	barbed wire	wire.n.01|wordnet_noun	vg_object_synset_plus_wordnet
barn door	barn_door	high	visual_genome_object_synset|wordnet_noun_mwe	2		barn_door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
barn doors	barn_door	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	barn door	barn_door.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baseball base	baseball_base	high	lvis_object	1		base.n.03	trusted_visual_object_label
baseball bases	baseball_base	high	lvis_object|plural_variant	1	baseball base	base.n.03	trusted_visual_object_label
baseball bat	baseball_bat	high	coco_object|lvis_object|openimages_boxable|visual_genome_object_synset|wordnet_noun_mwe	5		baseball_bat.n.01|wordnet_noun	trusted_visual_object_label
baseball bats	baseball_bat	high	coco_object|lvis_object|openimages_boxable|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	5	baseball bat	baseball_bat.n.01|wordnet_noun	trusted_visual_object_label
baseball cap	baseball_cap	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		baseball_cap.n.01|wordnet_noun	trusted_visual_object_label
baseball caps	baseball_cap	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	baseball cap	baseball_cap.n.01|wordnet_noun	trusted_visual_object_label
baseball cards	baseball_card	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	baseball card	baseball_card.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baseball diamond	baseball_diamond	high	visual_genome_object_synset|wordnet_noun_mwe	2		baseball_diamond.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baseball diamonds	baseball_diamond	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	baseball diamond	baseball_diamond.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baseball field	baseball_field	high	visual_genome_object_synset|wordnet_noun_mwe	2		ball_field.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baseball fields	baseball_field	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	baseball field	ball_field.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baseball glove	baseball_glove	high	coco_object|lvis_object|openimages_boxable|visual_genome_object_synset|wordnet_noun_mwe	5		baseball_glove.n.01|wordnet_noun	trusted_visual_object_label
baseball gloves	baseball_glove	high	coco_object|lvis_object|openimages_boxable|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	5	baseball glove	baseball_glove.n.01|wordnet_noun	trusted_visual_object_label
baseball mitt	baseball_mitt	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		baseball_glove.n.01|wordnet_noun	trusted_visual_object_label
baseball mitts	baseball_mitt	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	baseball mitt	baseball_glove.n.01|wordnet_noun	trusted_visual_object_label
baseball player	baseball_player	high	visual_genome_object_synset|wordnet_noun_mwe	2		ballplayer.n.01|wordnet_noun	vg_object_synset_plus_wordnet
baseball players	baseball_player	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	baseball player	ballplayer.n.01|wordnet_noun	vg_object_synset_plus_wordnet
basin (for washing)	basin_for_washing	high	lvis_object	1		washbasin.n.01	trusted_visual_object_label
basin for washings	basin_for_washing	high	lvis_object|plural_variant	1	basin (for washing)	washbasin.n.01	trusted_visual_object_label
basketball backboard	basketball_backboard	high	lvis_object|wordnet_noun_mwe	2		backboard.n.01|wordnet_noun	trusted_visual_object_label
basketball backboards	basketball_backboard	high	lvis_object|plural_variant|wordnet_noun_mwe	2	basketball backboard	backboard.n.01|wordnet_noun	trusted_visual_object_label
basketball court	basketball_court	high	visual_genome_object_synset|wordnet_noun_mwe	2		basketball_court.n.01|wordnet_noun	vg_object_synset_plus_wordnet
basketball courts	basketball_court	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	basketball court	basketball_court.n.01|wordnet_noun	vg_object_synset_plus_wordnet
basketball hoop	basketball_hoop	high	visual_genome_object_synset|wordnet_noun_mwe	2		basket.n.03|wordnet_noun	vg_object_synset_plus_wordnet
basketball hoops	basketball_hoop	high	plural_variant|visual_genome_object_synset|wordnet_noun_mwe	2	basketball hoop	basket.n.03|wordnet_noun	vg_object_synset_plus_wordnet
bass horn	bass_horn	high	lvis_object|wordnet_noun_mwe	2		bass_horn.n.01|wordnet_noun	trusted_visual_object_label
bass horns	bass_horn	high	lvis_object|plural_variant|wordnet_noun_mwe	2	bass horn	bass_horn.n.01|wordnet_noun	trusted_visual_object_label
bat (animal)	bat_animal	high	lvis_object|openimages_boxable	2		bat.n.01	trusted_visual_object_label
bat animals	bat_animal	high	lvis_object|openimages_boxable|plural_variant	2	bat (animal)	bat.n.01	trusted_visual_object_label
bath mat	bath_mat	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		bath_mat.n.01|wordnet_noun	trusted_visual_object_label
bath mats	bath_mat	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	bath mat	bath_mat.n.01|wordnet_noun	trusted_visual_object_label
bath towel	bath_towel	high	lvis_object|visual_genome_object_synset|wordnet_noun_mwe	3		bath_towel.n.01|wordnet_noun	trusted_visual_object_label
bath towels	bath_towel	high	lvis_object|plural_variant|visual_genome_object_synset|wordnet_noun_mwe	3	bath towel	bath_towel.n.01|wordnet_noun	trusted_visual_object_label
bathing costume	bathing_costume	high	lvis_object|wordnet_noun_mwe	2		swimsuit.n.01|wordnet_noun	trusted_visual_object_label
bathing costumes	bathing_costume	high	lvis_object|plural_variant|wordnet_noun_mwe	2	bathing costume	swimsuit.n.01|wordnet_noun	trusted_visual_object_label
