term	canonical	project_relation_type	snacs_supersenses	collapse_strategy	matcher_type	surface_sources	visual_sources	vg_count	gqa_count	openimages_triplet_count	confidence
laying in	laying_in	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	1004	0	0	high
laying on	lying_on	pose_support		predicate_plus_adposition_or_object	DependencyMatcher	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	3545	0	0	high
leaning against	leaning_against	spatial_contact	p.Locus	multiword_adposition_phrase	PhraseMatcher longest span	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	603	256	0	high
leaning on	leaning_on	pose_support		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	987	393	0	high
left of	left_of	spatial_lateral	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	390	0	0	high
looking at	looking_at	perception_relation		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	2984	1455	0	high
lying in	lying_in	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	657	371	0	high
lying next to	lying_next_to	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface	visual_genome_relationship_count|gqa_scene_graph_relation_count	211	32	0	high
lying on	lying_on	pose_support		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	1802	1608	0	high
made from	made_of	material_relation	p.Stuff	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	116	0	0	high
made of	made_of	material_relation	p.Stuff	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	2332	0	0	high
made out of	made_of	material_relation	p.Stuff	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	tpp_pdep_visual_seed|visual_genome_predicate_surface	visual_genome_relationship_count	79	0	0	high
mounted on	mounted_on	attachment_relation	p.Locus	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	2220	274	0	high
mounted to	mounted_to	attachment_relation	p.Locus	predicate_plus_adposition	DependencyMatcher + PhraseMatcher fallback	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	195	63	0	high
near to	near	spatial_proximity	p.Locus	multiword_adposition_phrase	PhraseMatcher longest span	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	73	0	0	high
next to	next_to	spatial_proximity	p.Locus	multiword_adposition_phrase	PhraseMatcher longest span	gqa_scene_graph_relation_surface|streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	26445	10810	0	high
on front of	in_front_of	spatial_depth	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	667990	0	0	high
on side of	side_of	spatial_lateral	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	26445	0	0	high
on top of	on_top_of	spatial_support	p.Characteristic|p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	gqa_scene_graph_relation_surface|streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	31575	11336	0	high
outside of	outside	spatial_outside	p.Locus	multiword_adposition_phrase	PhraseMatcher longest span	streusle_mwe|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	459	0	0	high
parked beside	parked_beside	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	124	51	0	high
parked in	parked_in	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	920	331	0	high
parked near	parked_near	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	272	101	0	high
parked next to	parked_next_to	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	268	100	0	high
parked on	parked_on	state_support		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	2653	968	0	high
part of	part_of	part_relation	p.Whole	multiword_relation_phrase	PhraseMatcher longest span	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	1927	0	0	high
pointing at	pointing_at	action_relation		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	99	34	0	high
right of	right_of	spatial_lateral	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	229	0	0	high
running in	running_in	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	217	66	0	high
running on	running_on	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	362	133	0	high
side of	side_of	spatial_lateral	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	206	0	0	high
sitting in	sitting_in	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	13782	1194	0	high
sitting near	sitting_near	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	140	56	0	high
sitting next to	sitting_next_to	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	312	157	0	high
sitting on	sitting_on	pose_support		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	13782	5590	0	high
sitting under	sitting_under	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	139	52	0	high
standing beside	standing_beside	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	248	103	0	high
standing in	standing_in	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	7594	1845	0	high
standing near	standing_near	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	744	299	0	high
standing next to	standing_next_to	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	1176	501	0	high
standing on	standing_on	pose_support		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	7594	2956	0	high
standing under	standing_under	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	179	68	0	high
surrounded by	surrounded_by	spatial_proximity	p.Locus	multiword_adposition_phrase	PhraseMatcher longest span	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	460	506	0	high
to left of	left_of	spatial_lateral	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	542	0	0	high
to right of	right_of	spatial_lateral	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	632	0	0	high
to the left of	left_of	spatial_lateral	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed	gqa_scene_graph_relation_count	0	1929591	0	high
to the right of	right_of	spatial_lateral	p.Locus	complex_preposition_phrase	PhraseMatcher longest span + dependency validation	gqa_scene_graph_relation_surface|tpp_pdep_visual_seed	gqa_scene_graph_relation_count	0	1929591	0	high
walking in	walking_in	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	1660	575	0	high
walking near	walking_near	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	154	67	0	high
walking next to	walking_next_to	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	113	49	0	high
walking on	walking_on	pose_location		predicate_plus_adposition_or_object	DependencyMatcher	gqa_scene_graph_relation_surface|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count|gqa_scene_graph_relation_count	4416	1862	0	high
worn by	worn_by	wearing_relation		predicate_plus_adposition_or_object	DependencyMatcher	tpp_pdep_visual_seed|visual_genome_predicate_surface|visual_genome_relationship_alias	visual_genome_relationship_alias|visual_genome_relationship_count	1512	0	0	high
