term	canonical	roles	primary_role	sources	source_types	parent_types	confidence	source_count	entry_count	provenance
bald	bald	size_attribute	size_attribute	ovad|vaw	hair length|other	length|other	high	2	2	modifier_attributes_clean
ball gown (skirt)	ball gown (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
balloon	balloon	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
bamboo	bamboo	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
banded	banded	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
banded (collar)	banded (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
basque (wasitline)	basque (wasitline)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1	modifier_attributes_clean
bead(a)	bead(a)	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
beige	beige	color_attribute	color_attribute	css_color_4|vaw	color	color	high	2	2	modifier_attributes_clean
bell	bell	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
bell (sleeve)	bell (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
bell bottom	bell bottom	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
below the knee (length)	below the knee (length)	size_attribute	size_attribute	fashionpedia	length	length	medium	1	1	modifier_attributes_clean
bend	bend	state_attribute	state_attribute	ovad	state	state	high	1	1	modifier_attributes_clean
bending	bending	pose_attribute	pose_attribute	coco_attributes|vaw	object_attribute|pose	clean_exact_overlap|pose	high	2	2	coco_high_typed|modifier_attributes_clean
bermuda (shorts)	bermuda (shorts)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
big	big	size_attribute	size_attribute	ovad|vaw	size	size	high	2	2	modifier_attributes_clean
biker (jacket)	biker (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
bishop (sleeve)	bishop (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
bisque	bisque	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
black	black	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
black haired	black haired	color_attribute	color_attribute	vaw	hair color	hair color	high	1	1	modifier_attributes_clean
black lettered	black lettered	color_attribute	color_attribute	vaw	letter color	letter color	high	1	1	modifier_attributes_clean
blanchedalmond	blanchedalmond	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
blanket (coat)	blanket (coat)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
blazer	blazer	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
blond	blond	color_attribute	color_attribute	vaw	color|hair color	color|hair color	high	1	2	modifier_attributes_clean
bloomers	bloomers	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
blotchy	blotchy	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
blouson (dress)	blouson (dress)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
blue	blue	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
blue plaid	blue plaid	pattern_attribute	pattern_attribute	vaw	pattern	pattern	high	1	1	modifier_attributes_clean
blue striped	blue striped	pattern_attribute	pattern_attribute	vaw	pattern	pattern	high	1	1	modifier_attributes_clean
blueviolet	blueviolet	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
bluish	bluish	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
boardshorts	boardshorts	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
boat (neck)	boat (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
bodycon (dress)	bodycon (dress)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
bolero	bolero	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
bomber (jacket)	bomber (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
bone	bone	material_attribute	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1	modifier_attributes_clean
bootcut	bootcut	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
booty (shorts)	booty (shorts)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
bow (collar)	bow (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
boy	boy	gender_attribute	gender_attribute	ovad	gender	gender	high	1	1	modifier_attributes_clean
braided	braided	texture_attribute	texture_attribute	dtd|vaw	other|texture	other|texture	high	2	2	modifier_attributes_clean
brass	brass	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
brick	brick	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
bright	bright	brightness_attribute|tone_attribute	brightness_attribute	ovad|vaw	brightness|hair tone|tone	brightness|tone	high	2	3	modifier_attributes_clean
bright blue	bright blue	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
bright green	bright green	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
bright red	bright red	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
bright yellow	bright yellow	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
broad	broad	size_attribute	size_attribute	vaw	width	width	high	1	1	modifier_attributes_clean
broken	broken	state_attribute	state_attribute	ovad|vaw	other|state	other|state	high	2	2	modifier_attributes_clean
bronze	bronze	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
brown	brown	color_attribute	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6	modifier_attributes_clean
brown haired	brown haired	color_attribute	color_attribute	vaw	hair color	hair color	high	1	1	modifier_attributes_clean
bubbly	bubbly	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
buckled (opening)	buckled (opening)	clothing_opening_attribute	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1	modifier_attributes_clean
bulky	bulky	size_attribute	size_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
bumpy	bumpy	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
bunch	bunch	group_attribute	group_attribute	ovad	group	group	high	1	1	modifier_attributes_clean
burgundy	burgundy	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
burlywood	burlywood	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
burnout	burnout	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
cadetblue	cadetblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
calm	calm	expression_attribute	expression_attribute	coco_attributes|ovad|vaw	face expression|object_attribute	clean_exact_overlap|face expression	high	3	3	coco_high_typed|modifier_attributes_clean
camisole	camisole	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
camo (pants)	camo (pants)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
camouflage	camouflage	pattern_attribute	pattern_attribute	fashionpedia|vaw	other|textile pattern	other|textile pattern	medium	2	2	modifier_attributes_clean
cap (sleeve)	cap (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
capri (pants)	capri (pants)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
captive	captive	state_attribute	state_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
cardboard	cardboard	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
cargo (pants)	cargo (pants)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
cargo (pocket)	cargo (pocket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
cargo (shorts)	cargo (shorts)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
cargo (skirt)	cargo (skirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
carrying	carrying	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
cartoon	cartoon	pattern_attribute	pattern_attribute	fashionpedia|vaw	other|textile pattern	other|textile pattern	medium	2	2	modifier_attributes_clean
catching	catching	activity_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
caucasian	caucasian	race_attribute	race_attribute	vaw	race	race	high	1	1	modifier_attributes_clean
celebrating	celebrating	activity_attribute|social_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
cement	cement	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
ceramic	ceramic	material_attribute	material_attribute	coco_attributes|ovad|paco|vaw	material|object_attribute	clean_exact_overlap|material	high	4	4	coco_high_typed|modifier_attributes_clean
chained (opening)	chained (opening)	clothing_opening_attribute	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1	modifier_attributes_clean
chanel (jacket)	chanel (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
chartreuse	chartreuse	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cheap	cheap	value_attribute	value_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
check	check	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
checkered	checkered	pattern_attribute	pattern_attribute	ovad|paco|vaw	clothes pattern|pattern|pattern marking	pattern|pattern marking	high	3	4	modifier_attributes_clean
cheetah	cheetah	motif_attribute	motif_attribute	fashionpedia	animal	animal	medium	1	1	modifier_attributes_clean
chelsea (collar)	chelsea (collar)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
chemise (dress)	chemise (dress)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
cheongsams	cheongsams	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
chequered	chequered	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
chevron	chevron	pattern_attribute	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1	modifier_attributes_clean
chocolate	chocolate	color_attribute|material_attribute	color_attribute	css_color_4|vaw	color|material	color|material	high	2	2	modifier_attributes_clean
choker (neck)	choker (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
choppy	choppy	texture_attribute	texture_attribute	vaw	texture	texture	high	1	1	modifier_attributes_clean
chrome	chrome	material_attribute	material_attribute	vaw	material	material	high	1	1	modifier_attributes_clean
circle	circle	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
circular	circular	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
circular flounce (sleeve)	circular flounce (sleeve)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
clapping	clapping	activity_attribute	activity_attribute	vaw	hand movement	hand movement	high	1	1	modifier_attributes_clean
classic (t shirt)	classic (t shirt)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
classic military (jacket)	classic military (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
clay	clay	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
clean	clean	condition_attribute	condition_attribute	coco_attributes|ovad|vaw	cleanliness|object_attribute	clean_exact_overlap|cleanliness	high	3	3	coco_high_typed|modifier_attributes_clean
clear	clear	opacity_attribute|weather_attribute	weather_attribute	vaw	opaqeness|weather	opaqeness|weather	high	1	2	modifier_attributes_clean
climbing	climbing	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
close	close	spatial_attribute	spatial_attribute	vaw	closeness	closeness	high	1	1	modifier_attributes_clean
closed	closed	state_attribute	state_attribute	coco_attributes|ovad|vaw	object_attribute|state	clean_exact_overlap|state	high	3	3	coco_high_typed|modifier_attributes_clean
cloth	cloth	material_attribute	material_attribute	coco_attributes|ovad|vaw	material|object_attribute	clean_exact_overlap|material	high	3	3	coco_high_typed|modifier_attributes_clean
cloudless	cloudless	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
cloudy	cloudy	weather_attribute	weather_attribute	vaw	weather	weather	high	1	1	modifier_attributes_clean
cluttered	cluttered	order_attribute	order_attribute	ovad|vaw	order|other	order|other	high	2	2	modifier_attributes_clean
cobblestone	cobblestone	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
cobwebbed	cobwebbed	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
collarless	collarless	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
collection	collection	group_attribute	group_attribute	ovad	group	group	high	1	1	modifier_attributes_clean
colorful	colorful	color_attribute	color_attribute	ovad|vaw	color quantity	color quantity	high	2	2	modifier_attributes_clean
colorless	colorless	color_attribute	color_attribute	vaw	color quantity	color quantity	high	1	1	modifier_attributes_clean
commercial	commercial	context_attribute|functional_attribute	context_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
compact	compact	size_attribute	size_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
concrete	concrete	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
conical	conical	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
cooked	cooked	food_state_attribute	food_state_attribute	coco_attributes|ovad|vaw	cooked|object_attribute|other	clean_exact_overlap|cooked|other	high	3	3	coco_high_typed|modifier_attributes_clean
cooking	cooking	activity_attribute	activity_attribute	coco_attributes|vaw	activity|object_attribute	activity|clean_exact_overlap	high	2	2	coco_high_typed|modifier_attributes_clean
copper zinc	copper zinc	material_attribute	material_attribute	ovad	material	material	high	1	1	modifier_attributes_clean
coral	coral	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cornflowerblue	cornflowerblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cornsilk	cornsilk	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cotton	cotton	material_attribute	material_attribute	ovad	material	material	high	1	1	modifier_attributes_clean
covered	covered	state_attribute	state_attribute	coco_attributes|ovad	object_attribute|state	clean_exact_overlap|state	high	2	2	coco_high_typed|modifier_attributes_clean
cowl (neck)	cowl (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
cracked	cracked	state_attribute|texture_attribute	texture_attribute	dtd|ovad|vaw	state|texture	state|texture	high	3	3	modifier_attributes_clean
cream colored	cream colored	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
crew (neck)	crew (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
crimson	crimson	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
crochet	crochet	material_attribute	material_attribute	paco	material	material	high	1	1	modifier_attributes_clean
crocodile	crocodile	material_attribute	material_attribute	fashionpedia	leather	leather	medium	1	1	modifier_attributes_clean
crop (jacket)	crop (jacket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
crop (pants)	crop (pants)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
crop (top)	crop (top)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
crosshatched	crosshatched	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
crossover (neck)	crossover (neck)	clothing_cut_attribute	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1	modifier_attributes_clean
crouching	crouching	pose_attribute	pose_attribute	coco_attributes|vaw	object_attribute|pose	clean_exact_overlap|pose	high	2	2	coco_high_typed|modifier_attributes_clean
crumpled / wrinkled	crumpled / wrinkled	texture_attribute	texture_attribute	coco_attributes	object_attribute	clean_alias_exact_match	high	1	1	coco_high_typed
crystalline	crystalline	texture_attribute	texture_attribute	dtd	texture	texture	high	1	1	modifier_attributes_clean
cubed	cubed	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
cuddling	cuddling	activity_attribute|social_attribute	activity_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
culotte (shorts)	culotte (shorts)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
culottes	culottes	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
curled	curled	hair_attribute|shape_attribute	shape_attribute	coco_attributes|ovad|vaw	hair type|object_attribute|shape	clean_exact_overlap|shape|type	high	3	3	coco_high_typed|modifier_attributes_clean
curly	curly	hair_attribute|shape_attribute	shape_attribute	ovad|vaw	hair type|shape	shape|type	high	2	2	modifier_attributes_clean
curved	curved	shape_attribute	shape_attribute	coco_attributes|vaw	object_attribute|shape	clean_exact_overlap|shape	high	2	2	coco_high_typed|modifier_attributes_clean
curved (fit)	curved (fit)	silhouette_attribute	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1	modifier_attributes_clean
curved (pocket)	curved (pocket)	fashion_style_attribute	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1	modifier_attributes_clean
cut	cut	state_attribute	state_attribute	ovad|vaw	other|state	other|state	high	2	2	modifier_attributes_clean
cutout	cutout	textile_finish_attribute	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1	modifier_attributes_clean
cutting	cutting	activity_attribute	activity_attribute	vaw	activity	activity	high	1	1	modifier_attributes_clean
cyan	cyan	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
cylindrical	cylindrical	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
dark	dark	brightness_attribute|tone_attribute	brightness_attribute	ovad|vaw	brightness|hair tone|tone	brightness|tone	high	2	4	modifier_attributes_clean
dark blue	dark blue	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark brown	dark brown	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark colored	dark colored	tone_attribute	tone_attribute	vaw	tone	tone	high	1	1	modifier_attributes_clean
dark gray	dark gray	color_attribute	color_attribute	vaw	color	color	high	1	1	modifier_attributes_clean
dark green	dark green	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark grey	dark grey	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
dark haired	dark haired	color_attribute	color_attribute	vaw	hair color	hair color	high	1	1	modifier_attributes_clean
dark orange	dark orange	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
dark pink	dark pink	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark purple	dark purple	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark red	dark red	color_attribute	color_attribute	paco|vaw	color	color	high	2	2	modifier_attributes_clean
dark skinned	dark skinned	color_attribute	color_attribute	vaw	skin color	skin color	high	1	1	modifier_attributes_clean
dark yellow	dark yellow	color_attribute	color_attribute	paco	color	color	high	1	1	modifier_attributes_clean
darkblue	darkblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkcyan	darkcyan	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkgoldenrod	darkgoldenrod	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkgray	darkgray	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkgreen	darkgreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkgrey	darkgrey	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkkhaki	darkkhaki	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkmagenta	darkmagenta	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkolivegreen	darkolivegreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkorange	darkorange	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkorchid	darkorchid	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkred	darkred	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darksalmon	darksalmon	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkseagreen	darkseagreen	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkslateblue	darkslateblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkslategray	darkslategray	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkslategrey	darkslategrey	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkturquoise	darkturquoise	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
darkviolet	darkviolet	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
deep	deep	size_attribute	size_attribute	vaw	depth	depth	high	1	1	modifier_attributes_clean
deeppink	deeppink	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
deepskyblue	deepskyblue	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
denim	denim	material_attribute	material_attribute	ovad|vaw	material	material	high	2	2	modifier_attributes_clean
diamond shaped	diamond shaped	shape_attribute	shape_attribute	vaw	shape	shape	high	1	1	modifier_attributes_clean
digital	digital	technology_attribute	technology_attribute	coco_attributes	object_attribute	coco_subtype_rule	high	1	1	coco_high_typed
dilapidated	dilapidated	state_attribute	state_attribute	ovad|vaw	state	state	high	2	2	modifier_attributes_clean
dimgray	dimgray	color_attribute	color_attribute	css_color_4	color	color	high	1	1	modifier_attributes_clean
