term	canonical	roles	sources	source_types	parent_types	confidence	source_count	entry_count
blank	blank	attribute	vaw	other	other	low	1	1
blanket (coat)	blanket (coat)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
blazer	blazer	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
blond	blond	color_attribute	vaw	color|hair color	color|hair color	high	1	2
bloomers	bloomers	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
blotchy	blotchy	texture_attribute	dtd	texture	texture	high	1	1
blouson (dress)	blouson (dress)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
blue	blue	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6
blue framed	blue framed	attribute	vaw	other	other	low	1	1
blue plaid	blue plaid	pattern_attribute	vaw	pattern	pattern	high	1	1
blue striped	blue striped	pattern_attribute	vaw	pattern	pattern	high	1	1
blueviolet	blueviolet	color_attribute	css_color_4	color	color	high	1	1
bluish	bluish	color_attribute	vaw	color	color	high	1	1
blurry	blurry	attribute	vaw	other	other	low	1	1
boardshorts	boardshorts	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
boat (neck)	boat (neck)	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1
bodycon (dress)	bodycon (dress)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
boiled	boiled	attribute	vaw	other	other	low	1	1
bolero	bolero	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
bomber (jacket)	bomber (jacket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
bone	bone	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1
bootcut	bootcut	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
booty (shorts)	booty (shorts)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
bow (collar)	bow (collar)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
boxed	boxed	attribute	vaw	other	other	low	1	1
boy	boy	gender_attribute	ovad	gender	gender	high	1	1
braided	braided	attribute|texture_attribute	dtd|vaw	other|texture	other|texture	high	2	2
brass	brass	material_attribute	ovad|vaw	material	material	high	2	2
brick	brick	material_attribute	ovad|vaw	material	material	high	2	2
bright	bright	brightness_attribute|tone_attribute	ovad|vaw	brightness|hair tone|tone	brightness|tone	high	2	3
bright blue	bright blue	color_attribute	vaw	color	color	high	1	1
bright green	bright green	color_attribute	vaw	color	color	high	1	1
bright red	bright red	color_attribute	vaw	color	color	high	1	1
bright yellow	bright yellow	color_attribute	vaw	color	color	high	1	1
broad	broad	size_attribute	vaw	width	width	high	1	1
broken	broken	attribute|state_attribute	ovad|vaw	other|state	other|state	high	2	2
bronze	bronze	color_attribute	vaw	color	color	high	1	1
brown	brown	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6
brown haired	brown haired	color_attribute	vaw	hair color	hair color	high	1	1
brushing teeth	brushing teeth	attribute	vaw	other	other	low	1	1
bubbly	bubbly	texture_attribute	dtd	texture	texture	high	1	1
buckled (opening)	buckled (opening)	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1
bumpy	bumpy	texture_attribute	dtd	texture	texture	high	1	1
bunch	bunch	group_attribute	ovad	group	group	high	1	1
burgundy	burgundy	color_attribute	vaw	color	color	high	1	1
buried	buried	attribute	vaw	other	other	low	1	1
burlywood	burlywood	color_attribute	css_color_4	color	color	high	1	1
burnout	burnout	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1
burnt	burnt	attribute	vaw	other	other	low	1	1
busy	busy	attribute	vaw	other	other	low	1	1
buttoned	buttoned	attribute	vaw	other	other	low	1	1
cadetblue	cadetblue	color_attribute	css_color_4	color	color	high	1	1
calm	calm	expression_attribute	ovad|vaw	face expression	face expression	high	2	2
camisole	camisole	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
camo (pants)	camo (pants)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
camouflage	camouflage	attribute|pattern_attribute	fashionpedia|vaw	other|textile pattern	other|textile pattern	medium	2	2
cap (sleeve)	cap (sleeve)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
capri (pants)	capri (pants)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
cardboard	cardboard	material_attribute	ovad|vaw	material	material	high	2	2
cargo (pants)	cargo (pants)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
cargo (pocket)	cargo (pocket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
cargo (shorts)	cargo (shorts)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
cargo (skirt)	cargo (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
carpeted	carpeted	attribute	vaw	other	other	low	1	1
carried	carried	attribute	vaw	other	other	low	1	1
cartoon	cartoon	attribute|pattern_attribute	fashionpedia|vaw	other|textile pattern	other|textile pattern	medium	2	2
carved	carved	attribute	vaw	other	other	low	1	1
catching	catching	attribute	vaw	other	other	low	1	1
caucasian	caucasian	race_attribute	vaw	race	race	high	1	1
cement	cement	material_attribute	ovad|vaw	material	material	high	2	2
ceramic	ceramic	material_attribute	ovad|paco|vaw	material	material	high	3	3
chain link	chain link	attribute	vaw	other	other	low	1	1
chained (opening)	chained (opening)	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1
chanel (jacket)	chanel (jacket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
chartreuse	chartreuse	color_attribute	css_color_4	color	color	high	1	1
check	check	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1
checkered	checkered	pattern_attribute	ovad|paco|vaw	clothes pattern|pattern|pattern marking	pattern|pattern marking	high	3	4
cheesy	cheesy	attribute	vaw	other	other	low	1	1
cheetah	cheetah	motif_attribute	fashionpedia	animal	animal	medium	1	1
chelsea (collar)	chelsea (collar)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
chemise (dress)	chemise (dress)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
cheongsams	cheongsams	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
chequered	chequered	texture_attribute	dtd	texture	texture	high	1	1
chevron	chevron	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1
chocolate	chocolate	color_attribute|material_attribute	css_color_4|vaw	color|material	color|material	high	2	2
choker (neck)	choker (neck)	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1
chopped	chopped	attribute	vaw	other	other	low	1	1
choppy	choppy	texture_attribute	vaw	texture	texture	high	1	1
christmas	christmas	attribute	vaw	other	other	low	1	1
chrome	chrome	material_attribute	vaw	material	material	high	1	1
chubby	chubby	attribute	vaw	other	other	low	1	1
circle	circle	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
circular	circular	shape_attribute	vaw	shape	shape	high	1	1
circular flounce (sleeve)	circular flounce (sleeve)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
clapping	clapping	activity_attribute	vaw	hand movement	hand movement	high	1	1
classic (t shirt)	classic (t shirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
classic military (jacket)	classic military (jacket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
classical	classical	attribute	vaw	other	other	low	1	1
clay	clay	material_attribute	ovad|vaw	material	material	high	2	2
clean	clean	condition_attribute	ovad|vaw	cleanliness	cleanliness	high	2	2
clear	clear	opacity_attribute|weather_attribute	vaw	opaqeness|weather	opaqeness|weather	high	1	2
climbing	climbing	activity_attribute	vaw	activity	activity	high	1	1
close	close	spatial_attribute	vaw	closeness	closeness	high	1	1
closed	closed	state_attribute	ovad|vaw	state	state	high	2	2
cloth	cloth	material_attribute	ovad|vaw	material	material	high	2	2
cloudless	cloudless	weather_attribute	vaw	weather	weather	high	1	1
cloudy	cloudy	weather_attribute	vaw	weather	weather	high	1	1
cluttered	cluttered	attribute|order_attribute	ovad|vaw	order|other	order|other	high	2	2
cobblestone	cobblestone	material_attribute	ovad|vaw	material	material	high	2	2
cobwebbed	cobwebbed	texture_attribute	dtd	texture	texture	high	1	1
collared	collared	attribute	vaw	other	other	low	1	1
collarless	collarless	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1
collection	collection	group_attribute	ovad	group	group	high	1	1
colorful	colorful	color_attribute	ovad|vaw	color quantity	color quantity	high	2	2
colorless	colorless	color_attribute	vaw	color quantity	color quantity	high	1	1
concentrating	concentrating	attribute	vaw	other	other	low	1	1
concrete	concrete	material_attribute	ovad|vaw	material	material	high	2	2
conical	conical	shape_attribute	vaw	shape	shape	high	1	1
cooked	cooked	attribute|food_state_attribute	ovad|vaw	cooked|other	cooked|other	high	2	2
cooking	cooking	activity_attribute	vaw	activity	activity	high	1	1
copper zinc	copper zinc	material_attribute	ovad	material	material	high	1	1
coral	coral	color_attribute	css_color_4	color	color	high	1	1
cornflowerblue	cornflowerblue	color_attribute	css_color_4	color	color	high	1	1
cornsilk	cornsilk	color_attribute	css_color_4	color	color	high	1	1
cotton	cotton	material_attribute	ovad	material	material	high	1	1
covered	covered	state_attribute	ovad	state	state	high	1	1
covered in sugar	covered in sugar	attribute	vaw	other	other	low	1	1
cowl (neck)	cowl (neck)	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1
cracked	cracked	state_attribute|texture_attribute	dtd|ovad|vaw	state|texture	state|texture	high	3	3
cream colored	cream colored	color_attribute	vaw	color	color	high	1	1
crew (neck)	crew (neck)	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1
crimson	crimson	color_attribute	css_color_4	color	color	high	1	1
crochet	crochet	material_attribute	paco	material	material	high	1	1
crocheted	crocheted	attribute	vaw	other	other	low	1	1
crocodile	crocodile	material_attribute	fashionpedia	leather	leather	medium	1	1
crop (jacket)	crop (jacket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
crop (pants)	crop (pants)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
crop (top)	crop (top)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
crossed	crossed	attribute	vaw	other	other	low	1	1
crosshatched	crosshatched	texture_attribute	dtd	texture	texture	high	1	1
crossing legs	crossing legs	attribute	vaw	other	other	low	1	1
crossover (neck)	crossover (neck)	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1
crouching	crouching	pose_attribute	vaw	pose	pose	high	1	1
crowded	crowded	attribute	vaw	other	other	low	1	1
crumpled	crumpled	attribute	vaw	other	other	low	1	1
crystalline	crystalline	texture_attribute	dtd	texture	texture	high	1	1
cubed	cubed	shape_attribute	vaw	shape	shape	high	1	1
culotte (shorts)	culotte (shorts)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
culottes	culottes	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
curled	curled	hair_attribute|shape_attribute	ovad|vaw	hair type|shape	shape|type	high	2	2
curly	curly	hair_attribute|shape_attribute	ovad|vaw	hair type|shape	shape|type	high	2	2
curtainless	curtainless	attribute	vaw	other	other	low	1	1
curved	curved	shape_attribute	vaw	shape	shape	high	1	1
curved (fit)	curved (fit)	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
curved (pocket)	curved (pocket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
cushioned	cushioned	attribute	vaw	other	other	low	1	1
cut	cut	attribute|state_attribute	ovad|vaw	other|state	other|state	high	2	2
cutout	cutout	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1
cutting	cutting	activity_attribute	vaw	activity	activity	high	1	1
cyan	cyan	color_attribute	css_color_4	color	color	high	1	1
cylindrical	cylindrical	shape_attribute	vaw	shape	shape	high	1	1
damaged	damaged	attribute	vaw	other	other	low	1	1
dark	dark	brightness_attribute|tone_attribute	ovad|vaw	brightness|hair tone|tone	brightness|tone	high	2	4
dark blue	dark blue	color_attribute	paco|vaw	color	color	high	2	2
dark brown	dark brown	color_attribute	paco|vaw	color	color	high	2	2
dark colored	dark colored	tone_attribute	vaw	tone	tone	high	1	1
dark gray	dark gray	color_attribute	vaw	color	color	high	1	1
dark green	dark green	color_attribute	paco|vaw	color	color	high	2	2
dark grey	dark grey	color_attribute	paco	color	color	high	1	1
dark haired	dark haired	color_attribute	vaw	hair color	hair color	high	1	1
dark orange	dark orange	color_attribute	paco	color	color	high	1	1
dark pink	dark pink	color_attribute	paco|vaw	color	color	high	2	2
dark purple	dark purple	color_attribute	paco|vaw	color	color	high	2	2
dark red	dark red	color_attribute	paco|vaw	color	color	high	2	2
dark skinned	dark skinned	color_attribute	vaw	skin color	skin color	high	1	1
dark wood	dark wood	attribute	vaw	other	other	low	1	1
dark yellow	dark yellow	color_attribute	paco	color	color	high	1	1
darkblue	darkblue	color_attribute	css_color_4	color	color	high	1	1
darkcyan	darkcyan	color_attribute	css_color_4	color	color	high	1	1
darkgoldenrod	darkgoldenrod	color_attribute	css_color_4	color	color	high	1	1
darkgray	darkgray	color_attribute	css_color_4	color	color	high	1	1
darkgreen	darkgreen	color_attribute	css_color_4	color	color	high	1	1
darkgrey	darkgrey	color_attribute	css_color_4	color	color	high	1	1
darkkhaki	darkkhaki	color_attribute	css_color_4	color	color	high	1	1
darkmagenta	darkmagenta	color_attribute	css_color_4	color	color	high	1	1
darkolivegreen	darkolivegreen	color_attribute	css_color_4	color	color	high	1	1
darkorange	darkorange	color_attribute	css_color_4	color	color	high	1	1
darkorchid	darkorchid	color_attribute	css_color_4	color	color	high	1	1
darkred	darkred	color_attribute	css_color_4	color	color	high	1	1
darksalmon	darksalmon	color_attribute	css_color_4	color	color	high	1	1
darkseagreen	darkseagreen	color_attribute	css_color_4	color	color	high	1	1
darkslateblue	darkslateblue	color_attribute	css_color_4	color	color	high	1	1
darkslategray	darkslategray	color_attribute	css_color_4	color	color	high	1	1
darkslategrey	darkslategrey	color_attribute	css_color_4	color	color	high	1	1
darkturquoise	darkturquoise	color_attribute	css_color_4	color	color	high	1	1
darkviolet	darkviolet	color_attribute	css_color_4	color	color	high	1	1
daytime	daytime	attribute	vaw	other	other	low	1	1
dead	dead	attribute	vaw	other	other	low	1	1
decorative	decorative	attribute	vaw	other	other	low	1	1
deep	deep	size_attribute	vaw	depth	depth	high	1	1
deeppink	deeppink	color_attribute	css_color_4	color	color	high	1	1
deepskyblue	deepskyblue	color_attribute	css_color_4	color	color	high	1	1
denim	denim	material_attribute	ovad|vaw	material	material	high	2	2
dense	dense	attribute	vaw	other	other	low	1	1
diamond shaped	diamond shaped	shape_attribute	vaw	shape	shape	high	1	1
digital	digital	attribute	vaw	other	other	low	1	1
dilapidated	dilapidated	state_attribute	ovad|vaw	state	state	high	2	2
dimgray	dimgray	color_attribute	css_color_4	color	color	high	1	1
dimgrey	dimgrey	color_attribute	css_color_4	color	color	high	1	1
directional	directional	attribute	vaw	other	other	low	1	1
dirndl (skirt)	dirndl (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
dirt	dirt	condition_attribute|material_attribute	ovad|vaw	cleanliness|material	cleanliness|material	high	2	2
dirty	dirty	condition_attribute	ovad|vaw	cleanliness	cleanliness	high	2	2
disgust	disgust	expression_attribute	ovad	face expression	face expression	high	1	1
disordered	disordered	order_attribute	ovad	order	order	high	1	1
disorganized	disorganized	order_attribute	ovad	order	order	high	1	1
displayed	displayed	attribute	vaw	other	other	low	1	1
disposable	disposable	attribute	vaw	other	other	low	1	1
distressed	distressed	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1
docked	docked	attribute	vaw	other	other	low	1	1
dodgerblue	dodgerblue	color_attribute	css_color_4	color	color	high	1	1
dolman (sleeve), batwing (sleeve)	dolman (sleeve), batwing (sleeve)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
domed	domed	shape_attribute	vaw	shape	shape	high	1	1
doorless	doorless	attribute	vaw	other	other	low	1	1
dot	dot	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1
dotted	dotted	pattern_attribute|texture_attribute	dtd|ovad|paco|vaw	clothes pattern|pattern|pattern marking|texture	pattern|pattern marking|texture	high	4	5
double breasted	double breasted	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1
doubledecker	doubledecker	attribute	vaw	other	other	low	1	1
dress (coat )	dress (coat )	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
dressed formally	dressed formally	attribute	vaw	other	other	low	1	1
dressed warmly	dressed warmly	attribute	vaw	other	other	low	1	1
dried	dried	attribute	vaw	other	other	low	1	1
drinking	drinking	activity_attribute	vaw	activity	activity	high	1	1
driving	driving	activity_attribute	vaw	activity	activity	high	1	1
dropped shoulder sleeve	dropped shoulder sleeve	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
dropped waistline	dropped waistline	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1
dry	dry	state_attribute	ovad|vaw	state	state	high	2	2
duffle (coat)	duffle (coat)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
duster (coat)	duster (coat)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
dusty	dusty	condition_attribute	vaw	cleanliness	cleanliness	high	1	1
eating	eating	activity_attribute	vaw	activity	activity	high	1	1
elbow length	elbow length	size_attribute	fashionpedia	length	length	medium	1	1
elderly	elderly	age_attribute	vaw	maturity	maturity	high	1	1
electronic	electronic	attribute	vaw	other	other	low	1	1
embossed	embossed	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1
empire waistline	empire waistline	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1
empty	empty	state_attribute	ovad|vaw	state	state	high	2	2
enjoying	enjoying	attribute	vaw	other	other	low	1	1
excited	excited	attribute	vaw	other	other	low	1	1
extended	extended	attribute	vaw	other	other	low	1	1
fabric	fabric	material_attribute	ovad|paco|vaw	material	material	high	3	3
faded	faded	attribute	vaw	other	other	low	1	1
fading	fading	attribute	vaw	other	other	low	1	1
fair isle	fair isle	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1
fallen	fallen	attribute	vaw	other	other	low	1	1
falling	falling	attribute	vaw	other	other	low	1	1
fancy	fancy	attribute	vaw	other	other	low	1	1
far away	far away	spatial_attribute	vaw	closeness	closeness	high	1	1
fat	fat	size_attribute	vaw	fatness|size	fatness|size	high	1	2
fear	fear	expression_attribute	ovad	face expression	face expression	high	1	1
feather	feather	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1
female	female	gender_attribute	ovad|vaw	gender	gender	high	2	2
fibrous	fibrous	texture_attribute	dtd	texture	texture	high	1	1
filled	filled	attribute	vaw	other	other	low	1	1
filthy	filthy	attribute	vaw	other	other	low	1	1
firebrick	firebrick	color_attribute	css_color_4	color	color	high	1	1
fit and flare	fit and flare	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
flamenco (skirt)	flamenco (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
flap (pocket)	flap (pocket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
flare	flare	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
flat	flat	attribute	vaw	other	other	low	1	1
flat screen	flat screen	attribute	vaw	other	other	low	1	1
flattened	flattened	attribute	vaw	other	other	low	1	1
flecked	flecked	texture_attribute	dtd	texture	texture	high	1	1
fleece	fleece	attribute	vaw	other	other	low	1	1
floating	floating	attribute	vaw	other	other	low	1	1
floor (length)	floor (length)	size_attribute	fashionpedia	length	length	medium	1	1
floral	floral	pattern_attribute	fashionpedia|ovad|paco|vaw	clothes pattern|pattern|pattern marking|textile pattern	pattern|pattern marking|textile pattern	high	4	5
floralwhite	floralwhite	color_attribute	css_color_4	color	color	high	1	1
flowered	flowered	attribute	vaw	other	other	low	1	1
fluffy	fluffy	material_attribute|texture_attribute	ovad|vaw	material|texture	material|texture	high	2	2
fly (opening)	fly (opening)	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	1	1
flying	flying	attribute	vaw	other	other	low	1	1
foamy	foamy	material_attribute	vaw	material	material	high	1	1
foggy	foggy	weather_attribute	vaw	weather	weather	high	1	1
folded	folded	state_attribute	ovad|vaw	state	state	high	2	2
for sale	for sale	attribute	vaw	other	other	low	1	1
forestgreen	forestgreen	color_attribute	css_color_4	color	color	high	1	1
framed	framed	attribute	vaw	other	other	low	1	1
frayed	frayed	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1
freckled	freckled	texture_attribute	dtd	texture	texture	high	1	1
fresh	fresh	attribute|food_state_attribute	ovad|vaw	cooked|other	cooked|other	high	2	2
fried	fried	attribute	vaw	other	other	low	1	1
frilly	frilly	texture_attribute	dtd	texture	texture	high	1	1
frizzy	frizzy	attribute	vaw	other	other	low	1	1
frosted	frosted	attribute	vaw	other	other	low	1	1
frowning	frowning	expression_attribute	ovad|vaw	face expression	face expression	high	2	2
frozen	frozen	attribute	vaw	other	other	low	1	1
fuchsia	fuchsia	color_attribute	css_color_4|vaw	color	color	high	2	2
full	full	state_attribute	ovad|vaw	state	state	high	2	2
funny	funny	attribute	vaw	other	other	low	1	1
fur	fur	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1
furry	furry	material_attribute|texture_attribute	ovad|vaw	material|texture	material|texture	high	2	2
fuzzy	fuzzy	attribute	vaw	other	other	low	1	1
gainsboro	gainsboro	color_attribute	css_color_4	color	color	high	1	1
garbage	garbage	attribute	vaw	other	other	low	1	1
gathering	gathering	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1
gauzy	gauzy	texture_attribute	dtd	texture	texture	high	1	1
gem	gem	material_attribute	fashionpedia	non textile material type	non textile material type	medium	1	1
geometric	geometric	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1
ghostwhite	ghostwhite	color_attribute	css_color_4	color	color	high	1	1
giant	giant	size_attribute	ovad|vaw	size	size	high	2	2
giraffe	giraffe	motif_attribute	fashionpedia	animal	animal	medium	1	1
girl	girl	gender_attribute	ovad	gender	gender	high	1	1
glass	glass	material_attribute	ovad|paco|vaw	material	material	high	3	3
