term	canonical	role	source	source_type	parent_type	confidence	raw_name	source_url
asian	asian	race_attribute	vaw	race	race	high	asian	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
asphalt	asphalt	material_attribute	ovad	material	material	high	material:asphalt/cement/clay/concrete/stucco	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
asphalt	asphalt	material_attribute	vaw	material	material	high	asphalt	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
assorted	assorted	attribute	vaw	other	other	low	assorted	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
asymmetric (collar)	asymmetric (collar)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	asymmetric (collar)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
asymmetric (neckline)	asymmetric (neckline)	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	asymmetric (neckline)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
asymmetrical	asymmetrical	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	asymmetrical	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
athletic	athletic	attribute	vaw	other	other	low	athletic	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
azure	azure	color_attribute	css_color_4	color	color	high	azure	https://www.w3.org/TR/css-color-4/
baby	baby	age_attribute	ovad	maturity	maturity	high	maturity:young/baby	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
baby	baby	attribute	vaw	other	other	low	baby	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
backwards	backwards	attribute	vaw	other	other	low	backwards	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
baggy	baggy	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	baggy	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
baggy	baggy	attribute	vaw	other	other	low	baggy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
baked	baked	food_state_attribute	ovad	cooked	cooked	high	cooked:cooked/baked/warmed	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
baked	baked	attribute	vaw	other	other	low	baked	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
balancing	balancing	attribute	vaw	other	other	low	balancing	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bald	bald	size_attribute	ovad	hair length	length	high	hair length:bald	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
bald	bald	attribute	vaw	other	other	low	bald	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
ball gown (skirt)	ball gown (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	ball gown (skirt)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
balloon	balloon	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	balloon	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bamboo	bamboo	material_attribute	ovad	material	material	high	material:wood/wooden/bamboo/hardwood	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
bamboo	bamboo	material_attribute	vaw	material	material	high	bamboo	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
banded	banded	texture_attribute	dtd	texture	texture	high	banded	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
banded (collar)	banded (collar)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	banded (collar)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
barbed wire	barbed wire	attribute	vaw	other	other	low	barbed wire	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bare	bare	attribute	vaw	other	other	low	bare	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
barefoot	barefoot	attribute	vaw	other	other	low	barefoot	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
barred	barred	attribute	vaw	other	other	low	barred	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
barren	barren	attribute	vaw	other	other	low	barren	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
basque (wasitline)	basque (wasitline)	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	basque (wasitline)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
batting	batting	attribute	vaw	other	other	low	batting	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bead(a)	bead(a)	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	bead(a)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bearded	bearded	attribute	vaw	other	other	low	bearded	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
beige	beige	color_attribute	css_color_4	color	color	high	beige	https://www.w3.org/TR/css-color-4/
beige	beige	color_attribute	vaw	color	color	high	beige	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bell	bell	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	bell	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bell (sleeve)	bell (sleeve)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	bell (sleeve)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bell bottom	bell bottom	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	bell bottom	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
below the knee (length)	below the knee (length)	size_attribute	fashionpedia	length	length	medium	below the knee (length)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bend	bend	state_attribute	ovad	state	state	high	state:folded/bend	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
bending	bending	pose_attribute	vaw	pose	pose	high	bending	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bent	bent	attribute	vaw	other	other	low	bent	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bermuda (shorts)	bermuda (shorts)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	bermuda (shorts)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
big	big	size_attribute	ovad	size	size	high	size:big/large/giant/huge	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
big	big	size_attribute	vaw	size	size	high	big	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
biker (jacket)	biker (jacket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	biker (jacket)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bishop (sleeve)	bishop (sleeve)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	bishop (sleeve)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bisque	bisque	color_attribute	css_color_4	color	color	high	bisque	https://www.w3.org/TR/css-color-4/
black	black	color_attribute	css_color_4	color	color	high	black	https://www.w3.org/TR/css-color-4/
black	black	color_attribute	ovad	clothes color	color	high	clothes color:black	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
black	black	color_attribute	ovad	color	color	high	color:black	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
black	black	color_attribute	ovad	hair color	color	high	hair color:black	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
black	black	color_attribute	paco	color	color	high	black	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
black	black	color_attribute	vaw	color	color	high	black	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
black framed	black framed	attribute	vaw	other	other	low	black framed	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
black haired	black haired	color_attribute	vaw	hair color	hair color	high	black haired	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
black leather	black leather	attribute	vaw	other	other	low	black leather	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
black lettered	black lettered	color_attribute	vaw	letter color	letter color	high	black lettered	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
black metal	black metal	attribute	vaw	other	other	low	black metal	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
blanchedalmond	blanchedalmond	color_attribute	css_color_4	color	color	high	blanchedalmond	https://www.w3.org/TR/css-color-4/
blank	blank	attribute	vaw	other	other	low	blank	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
blanket (coat)	blanket (coat)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	blanket (coat)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
blazer	blazer	fashion_style_attribute	fashionpedia	nickname	nickname	medium	blazer	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
blond	blond	color_attribute	vaw	color	color	high	blond	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
blond	blond	color_attribute	vaw	hair color	hair color	high	blond	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bloomers	bloomers	fashion_style_attribute	fashionpedia	nickname	nickname	medium	bloomers	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
blotchy	blotchy	texture_attribute	dtd	texture	texture	high	blotchy	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
blouson (dress)	blouson (dress)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	blouson (dress)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
blue	blue	color_attribute	css_color_4	color	color	high	blue	https://www.w3.org/TR/css-color-4/
blue	blue	color_attribute	ovad	clothes color	color	high	clothes color:blue	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
blue	blue	color_attribute	ovad	color	color	high	color:blue	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
blue	blue	color_attribute	ovad	hair color	color	high	hair color:blue	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
blue	blue	color_attribute	paco	color	color	high	blue	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
blue	blue	color_attribute	vaw	color	color	high	blue	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
blue framed	blue framed	attribute	vaw	other	other	low	blue framed	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
blue plaid	blue plaid	pattern_attribute	vaw	pattern	pattern	high	blue plaid	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
blue striped	blue striped	pattern_attribute	vaw	pattern	pattern	high	blue striped	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
blueviolet	blueviolet	color_attribute	css_color_4	color	color	high	blueviolet	https://www.w3.org/TR/css-color-4/
bluish	bluish	color_attribute	vaw	color	color	high	bluish	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
blurry	blurry	attribute	vaw	other	other	low	blurry	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
boardshorts	boardshorts	fashion_style_attribute	fashionpedia	nickname	nickname	medium	boardshorts	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
boat (neck)	boat (neck)	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	boat (neck)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bodycon (dress)	bodycon (dress)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	bodycon (dress)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
boiled	boiled	attribute	vaw	other	other	low	boiled	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bolero	bolero	fashion_style_attribute	fashionpedia	nickname	nickname	medium	bolero	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bomber (jacket)	bomber (jacket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	bomber (jacket)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bone	bone	material_attribute	fashionpedia	non textile material type	non textile material type	medium	bone	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bootcut	bootcut	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	bootcut	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
booty (shorts)	booty (shorts)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	booty (shorts)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bow (collar)	bow (collar)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	bow (collar)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
boxed	boxed	attribute	vaw	other	other	low	boxed	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
boy	boy	gender_attribute	ovad	gender	gender	high	gender:male/man/guy/boy	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
braided	braided	texture_attribute	dtd	texture	texture	high	braided	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
braided	braided	attribute	vaw	other	other	low	braided	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
brass	brass	material_attribute	ovad	material	material	high	material:metal/metallic/aluminum/brass/copper-zinc/iron/stainless steel/steel/silver	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
brass	brass	material_attribute	vaw	material	material	high	brass	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
brick	brick	material_attribute	ovad	material	material	high	material:ceramic/brick/porcelain	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
brick	brick	material_attribute	vaw	material	material	high	brick	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bright	bright	tone_attribute	ovad	hair tone	tone	high	hair tone:light/bright	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
bright	bright	tone_attribute	ovad	tone	tone	high	tone:light/bright	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
bright	bright	brightness_attribute	vaw	brightness	brightness	high	bright	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bright blue	bright blue	color_attribute	vaw	color	color	high	bright blue	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bright green	bright green	color_attribute	vaw	color	color	high	bright green	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bright red	bright red	color_attribute	vaw	color	color	high	bright red	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bright yellow	bright yellow	color_attribute	vaw	color	color	high	bright yellow	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
broad	broad	size_attribute	vaw	width	width	high	broad	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
broken	broken	state_attribute	ovad	state	state	high	state:dilapidated/ruined/broken	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
broken	broken	attribute	vaw	other	other	low	broken	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bronze	bronze	color_attribute	vaw	color	color	high	bronze	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
brown	brown	color_attribute	css_color_4	color	color	high	brown	https://www.w3.org/TR/css-color-4/
brown	brown	color_attribute	ovad	clothes color	color	high	clothes color:brown	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
brown	brown	color_attribute	ovad	color	color	high	color:brown	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
brown	brown	color_attribute	ovad	hair color	color	high	hair color:brown	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
brown	brown	color_attribute	paco	color	color	high	brown	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
brown	brown	color_attribute	vaw	color	color	high	brown	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
brown haired	brown haired	color_attribute	vaw	hair color	hair color	high	brown haired	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
brushing teeth	brushing teeth	attribute	vaw	other	other	low	brushing teeth	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
bubbly	bubbly	texture_attribute	dtd	texture	texture	high	bubbly	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
buckled (opening)	buckled (opening)	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	buckled (opening)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
bumpy	bumpy	texture_attribute	dtd	texture	texture	high	bumpy	https://www.robots.ox.ac.uk/~vgg/data/dtd/download/dtd-r1.0.1-labels.tar.gz
bunch	bunch	group_attribute	ovad	group	group	high	group:group/bunch/collection	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
burgundy	burgundy	color_attribute	vaw	color	color	high	burgundy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
buried	buried	attribute	vaw	other	other	low	buried	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
burlywood	burlywood	color_attribute	css_color_4	color	color	high	burlywood	https://www.w3.org/TR/css-color-4/
burnout	burnout	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	burnout	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
burnt	burnt	attribute	vaw	other	other	low	burnt	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
busy	busy	attribute	vaw	other	other	low	busy	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
buttoned	buttoned	attribute	vaw	other	other	low	buttoned	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
cadetblue	cadetblue	color_attribute	css_color_4	color	color	high	cadetblue	https://www.w3.org/TR/css-color-4/
calm	calm	expression_attribute	ovad	face expression	face expression	high	face expression:neutral/calm/serious	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
calm	calm	expression_attribute	vaw	face expression	face expression	high	calm	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
camisole	camisole	fashion_style_attribute	fashionpedia	nickname	nickname	medium	camisole	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
camo (pants)	camo (pants)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	camo (pants)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
camouflage	camouflage	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	camouflage	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
camouflage	camouflage	attribute	vaw	other	other	low	camouflage	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
cap (sleeve)	cap (sleeve)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	cap (sleeve)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
capri (pants)	capri (pants)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	capri (pants)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
cardboard	cardboard	material_attribute	ovad	material	material	high	material:paper/cardboard	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
cardboard	cardboard	material_attribute	vaw	material	material	high	cardboard	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
cargo (pants)	cargo (pants)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	cargo (pants)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
cargo (pocket)	cargo (pocket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	cargo (pocket)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
cargo (shorts)	cargo (shorts)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	cargo (shorts)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
cargo (skirt)	cargo (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	cargo (skirt)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
carpeted	carpeted	attribute	vaw	other	other	low	carpeted	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
carried	carried	attribute	vaw	other	other	low	carried	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
cartoon	cartoon	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	cartoon	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
cartoon	cartoon	attribute	vaw	other	other	low	cartoon	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
carved	carved	attribute	vaw	other	other	low	carved	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
catching	catching	attribute	vaw	other	other	low	catching	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
caucasian	caucasian	race_attribute	vaw	race	race	high	caucasian	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
cement	cement	material_attribute	ovad	material	material	high	material:asphalt/cement/clay/concrete/stucco	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
cement	cement	material_attribute	vaw	material	material	high	cement	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
ceramic	ceramic	material_attribute	ovad	material	material	high	material:ceramic/brick/porcelain	https://lmb.informatik.uni-freiburg.de/resources/datasets/ovad.zip
ceramic	ceramic	material_attribute	paco	material	material	high	ceramic	https://raw.githubusercontent.com/facebookresearch/paco/main/paco/data/datasets/paco_categories.py
ceramic	ceramic	material_attribute	vaw	material	material	high	ceramic	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
chain link	chain link	attribute	vaw	other	other	low	chain-link	https://raw.githubusercontent.com/adobe-research/vaw_dataset/main/data/attribute_types.json
chained (opening)	chained (opening)	clothing_opening_attribute	fashionpedia	opening type	opening type	medium	chained (opening)	https://s3.amazonaws.com/ifashionist-dataset/annotations/instances_attributes_val2020.json
