term	parent_chain	count_channel	confidence	source	notes
paneling	architectural_part|surface	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wall/surface covering
lot	place	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	parking/dirt lot place
conference	event	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	event context
setup	arrangement	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	arranged scene/setup
moth	insect|animal|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	animal/insect
air	natural_element	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	air/atmosphere
fish	animal|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	animal
color	visual_property	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	color property noun
figurine	artwork|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	figure/art object
headdress	clothing|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wearable head item
drum	musical_instrument|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	instrument
instrument	musical_instrument|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	instrument
pedestal	support_structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	support base
party	event	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	social event
decoration	decoration|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	decorative object
castle	building|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	building/place
village	settlement|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	settlement/place
headscarf	clothing|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wearable clothing
patio	place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	outdoor place
deck	structure|place	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	deck/platform/place
necklace	accessory|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wearable accessory
pathway	path|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	path/place
mound	landform|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	landform
catcher	athlete|person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	sports role
component	part|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	object part/component
town	settlement|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	settlement/place
picture	artwork|visual_document|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	visual document/artwork
lamppost	lighting_device|structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	lamp support
shop	place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	commercial place
dome	architectural_part|structure	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	architectural part
pond	water_body|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	water body
gesture	body_motion|visual_element	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	visible gesture noun
headband	accessory|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wearable accessory
legging	clothing|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	clothing
daylight	illumination|time_context	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	light/time context
formation	arrangement	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	arrangement noun
bin	container|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	container
cover	covering|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	cover/covering object
city	settlement|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	place
street_sign	sign|artifact	entity	high	1k_stage9_audit_v3 + compound_head:sign	sign object
stool	furniture|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	furniture
dancer	person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	human role
name_tag	label|artifact	entity	high	1k_stage9_audit_v3 + compound_head:tag	wearable label
coat_stand	furniture|artifact	entity	high	1k_stage9_audit_v3 + compound_head:stand	furniture/support
lamp	lighting_device|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	lighting object
creature	animal|living_thing	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	living creature; broad animal parent
rim	object_part|edge	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	object edge/rim
bedroom	interior_place|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	room/place
ruin	structure|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	ruined structure/place
bib	clothing|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wearable item
blanket	textile|furnishing|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	textile/furnishing
glow	illumination|visual_element	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	light/visual effect noun
stream	water_body|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	water body
athlete	person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	human role
texture	visual_property	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	visual property
architecture	structure|building_style	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	built environment/style
dune	landform|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	landform
mural	artwork|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wall artwork
beard	hair|body_part	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	facial hair
center	spatial_region	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	central region
streetlamp	lighting_device|structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	lighting object/structure
spire	architectural_part|structure	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	architectural part
sheet	textile_or_document|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	sheet textile/paper ambiguity
section	spatial_region	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	part/section
christmas_tree	tree|plant|artifact	entity	medium	1k_stage9_audit_v3 + compound_head:tree	tree/decorative object
can	container|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	container/can
vessel	container_or_vehicle|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	container/ship ambiguity
twig	plant_part|plant	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	plant part
bee	insect|animal|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	animal/insect
walkway	path|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	path/place
wine_glass	drinking_vessel|artifact	entity	high	1k_stage9_audit_v3 + compound_head:glass	drinking vessel
harbor	place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	place
mountain_range	landform|place	entity	high	1k_stage9_audit_v3 + compound_head:range	landform
blossom	plant_part|plant	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	flower/blossom
hockey_stick	sports_equipment|artifact	entity	high	1k_stage9_audit_v3 + compound_head:stick	sports equipment
pedestrian	person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	human role
ice	natural_element	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	natural material/element
cemetery	place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	place
watch	accessory|device|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wearable device/accessory
helicopter	aircraft|vehicle	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	vehicle
alleyway	path|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	urban path/place
shell	animal_part|natural_object	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	shell object/natural part
herb	plant|food	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	plant/food
fountain	structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	water feature/structure
wrestler	athlete|person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	human athlete
crater	landform|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	landform
vase	container|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	container/art object
