term	canonical	relation_type	confidence	is_multiword	sources	vg_count	openimages_triplet_count	synsets	alias_group	rule_id	provenance
behind	behind	spatial_depth	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	39961	0	be.v.01|behind.r.01	behind	manual:behind	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
below	below	spatial_vertical	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	18459	0	be.v.01|below.r.01	below|under	manual:below	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
beneath	below	spatial_vertical	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	1356	0	be.v.01|below.r.01	beneath	manual:beneath	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
beside	next_to	spatial_proximity	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	26445	0	be.v.01	beside|near	manual:beside	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
between	between	spatial_region	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	3387	0	be.v.01|between.r.02	between	manual:between	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
by	by	spatial_proximity	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	26445	0	be.v.01|by.r.01	by|near	manual:by	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
carrying	carrying	action_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	4630	0	be.v.01|transport.v.02	carrying	manual:carrying	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
close to	near	spatial_proximity	high	yes	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	609	0	be.v.01|close.v.01	close to	manual:close to	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count
composed of	made_of	material_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	23	0	be.v.01|write.v.01	composed of	manual:composed of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
connected to	connected_to	attachment_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	852	0	associate.v.01|be.v.01	connected to	manual:connected to	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
contain	contain	spatial_containment	high	no	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_count	22	124	incorporate.v.02		manual:contain	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_count
containing	contain	spatial_containment	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	680	0	be.v.01|incorporate.v.02	containing	manual:containing	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
contains	contain	spatial_containment	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	885	0	incorporate.v.02	contains	manual:contains	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
covered by	covered_by	surface_relation	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	358	0	be.v.01|traverse.v.01	covered by	regex:surface	visual_genome_relationship_alias|visual_genome_relationship_count
covered in	covered_with	surface_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	2249	0	be.v.01|in.r.01|traverse.v.01	covered in	manual:covered in	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
covered with	covered_with	surface_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	1294	0	be.v.01|traverse.v.01	covered with	manual:covered with	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
facing	facing	orientation_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	712	0	be.v.01|confront.v.02	facing	manual:facing	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
front of	in_front_of	spatial_depth	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	540	0	be.v.01|front.v.01	front of	manual:front of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
hanging from	hanging_from	attachment_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	5412	0	be.v.01|hang.v.01	hanging from	manual:hanging from	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
hanging on	hanging_on	attachment_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	5412	0	along.r.01|be.v.01	hanging from|hanging on	manual:hanging on	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
has	has	possession_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	245977	0	be.v.01|have.v.01	has	manual:has	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
have	has	possession_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	245977	0	have.v.01	has|have	manual:have	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
hold	holding	action_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	320	0	be.v.01|have.v.01	hold	manual:hold	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
holding	holding	action_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	37483	0	be.v.01|have.v.01	holding	manual:holding	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
holds	holding	action_relation	high	no	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	37483	457	have.v.01	holding|holds	manual:holds	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count
in	in	spatial_containment	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	225353	0	be.v.01|in.r.01	in	manual:in	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
in back of	behind	spatial_depth	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	491	0	back.r.01|be.v.01	in back of	manual:in back of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
in center of	center_of	spatial_region	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	218	0	be.v.01|focus_on.v.01	in center of	manual:in center of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
in front of	in_front_of	spatial_depth	high	yes	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	13204	0	along.r.01|be.v.01|front.v.01|in.r.01	in front of	manual:in front of	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count
in middle of	middle_of	spatial_region	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	1260	0	be.v.01|in.r.01	in middle of	manual:in middle of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
in the back of	behind	spatial_depth	high	yes	manual_relation_seed	0	0			manual:in the back of	manual_relation_seed
in the center of	center_of	spatial_region	high	yes	manual_relation_seed	0	0			manual:in the center of	manual_relation_seed
in the front of	in_front_of	spatial_depth	high	yes	manual_relation_seed	0	0			manual:in the front of	manual_relation_seed
in the middle of	middle_of	spatial_region	high	yes	manual_relation_seed|streusle_mwe|visual_genome_relationship_count	1	0	in.r.01		manual:in the middle of	manual_relation_seed|streusle_mwe|visual_genome_relationship_count
inside	inside	spatial_containment	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	225353	0	be.v.01|inside.r.01	in|inside	manual:inside	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
inside of	inside	spatial_containment	high	yes	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	225353	48	be.v.01|inside.r.01	in|inside of	manual:inside of	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count
interacts with	interacts_with	action_relation	high	yes	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_count	2	89	interact.v.01		manual:interacts with	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_count
laying in	laying_in	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	1004	0	be.v.01|put.v.01	laying in	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
laying on	lying_on	pose_support	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	3545	0	along.r.01|be.v.01|put.v.01	laying on	manual:laying on	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
leaning against	leaning_against	spatial_contact	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	603	0	be.v.01|tend.v.01	leaning against	manual:leaning against	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
leaning on	leaning_on	pose_support	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	987	0	along.r.01|be.v.01|tend.v.01	leaning on	manual:leaning on	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
left of	left_of	spatial_lateral	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	390	0	be.v.01|leave.v.01	left of	manual:left of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
looking at	looking_at	perception_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	2984	0	be.v.01|look.v.02	looking at	manual:looking at	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
lying in	lying_in	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	657	0	be.v.01|lie.v.01	lying in	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
lying next to	lying_next_to	pose_location	high	yes	visual_genome_relationship_count	211	0	be.v.01|lie.v.01		regex:pose_location	visual_genome_relationship_count
lying on	lying_on	pose_support	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	1802	0	be.v.01|lie.v.01	lying on	manual:lying on	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
made from	made_of	material_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	116	0	be.v.01|make.v.01	made from	manual:made from	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
made of	made_of	material_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	2332	0	be.v.01|make.v.01	made of	manual:made of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
made out of	made_of	material_relation	high	yes	manual_relation_seed|visual_genome_relationship_count	79	0	be.v.01|make.v.01		manual:made out of	manual_relation_seed|visual_genome_relationship_count
mounted on	mounted_on	attachment_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	2220	0	along.r.01|be.v.01	mounted on	manual:mounted on	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
mounted to	mounted_to	attachment_relation	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	195	0	be.v.01|climb.v.01	mounted to	regex:attachment	visual_genome_relationship_alias|visual_genome_relationship_count
near	near	spatial_proximity	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	26445	0	about.r.07|be.v.01	near	manual:near	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
near to	near	spatial_proximity	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	73	0	about.r.07|be.v.01	near to	manual:near to	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
next to	next_to	spatial_proximity	high	yes	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	26445	0	be.v.01|next.r.01	near|next to	manual:next to	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count
of	of	part_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	129214	0	be.v.01	of	manual:of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
on	on	spatial_support	high	no	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	667990	149	along.r.01|be.v.01	on	manual:on	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count
on front of	in_front_of	spatial_depth	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	667990	0	along.r.01|be.v.01	on|on front of	manual:on front of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
on side of	side_of	spatial_lateral	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	26445	0	along.r.01|be.v.01	near|on side of	manual:on side of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
on top of	on_top_of	spatial_support	high	yes	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	31575	0	along.r.01|be.v.01|exceed.v.02	above|on top of	manual:on top of	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count
onto	on	spatial_support	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	39	0	be.v.01	onto	manual:onto	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
outside	outside	spatial_outside	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	1601	0	be.v.01|outside.r.01	outside	manual:outside	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
outside of	outside	spatial_outside	high	yes	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count	459	0	be.v.01|outside.r.01	outside of	manual:outside of	manual_relation_seed|streusle_mwe|visual_genome_relationship_alias|visual_genome_relationship_count
over	above	spatial_vertical	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	8973	0	be.v.01|over.r.01	over	manual:over	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
parked beside	parked_beside	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	124	0	be.v.01|park.v.01	parked beside	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
parked in	parked_in	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	920	0	be.v.01|in.r.01	parked in	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
parked near	parked_near	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	272	0	about.r.07|be.v.01	parked near	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
parked next to	parked_next_to	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	268	0	be.v.01|park.v.01	parked next to	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
parked on	parked_on	state_support	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	2653	0	along.r.01|be.v.01	parked on	manual:parked on	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
part of	part_of	part_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	1927	0	be.v.01|depart.v.03	part of	manual:part of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
playing	playing	action_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	3677	0	be.v.01|play.v.01	playing	manual:playing	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
plays	playing	action_relation	high	no	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	226	65	play.v.01	plays	manual:plays	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count
pointing at	pointing_at	action_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	99	0	be.v.01|indicate.v.02	pointing at	manual:pointing at	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
ride	riding	action_relation	high	no	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	29	76	depend_on.v.01	ride	manual:ride	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count
riding	riding	action_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	7551	0	be.v.01|depend_on.v.01|rid.v.01	riding	manual:riding	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
right of	right_of	spatial_lateral	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	229	0	be.v.01|properly.r.01	right of	manual:right of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
running in	running_in	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	217	0	be.v.01|in.r.01|run.v.01	running in	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
running on	running_on	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	362	0	be.v.01|run.v.01	running on	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
side of	side_of	spatial_lateral	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	206	0	be.v.01	side of	manual:side of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
sitting in	sitting_in	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	13782	0	be.v.01|in.r.01|sit.v.01	sitting in|sitting on	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
sitting near	sitting_near	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	140	0	about.r.07|be.v.01	sitting near	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
sitting next to	sitting_next_to	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	312	0	be.v.01|sit.v.01	sitting next to	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
sitting on	sitting_on	pose_support	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	13782	0	along.r.01|be.v.01|sit.v.01	sitting on	manual:sitting on	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
sitting under	sitting_under	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	139	0	be.v.01|sit.v.01	sitting under	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
standing beside	standing_beside	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	248	0	be.v.01|stand.v.01	standing beside	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
standing in	standing_in	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	7594	0	be.v.01|in.r.01|stand.v.01	standing in|standing on	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
standing near	standing_near	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	744	0	about.r.07|be.v.01	standing near	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
standing next to	standing_next_to	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	1176	0	be.v.01|next.r.01|stand.v.01	standing next to	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
standing on	standing_on	pose_support	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	7594	0	along.r.01|be.v.01|stand.v.01	standing on	manual:standing on	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
standing under	standing_under	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	179	0	be.v.01|stand.v.01|under.r.01	standing under	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
surrounded by	surrounded_by	spatial_proximity	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	460	0	be.v.01|by.r.01	surrounded by	manual:surrounded by	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
surrounding	around	spatial_proximity	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	815	0	be.v.01|surround.v.01	surrounding	manual:surrounding	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
through	through	spatial_path	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	747	0	be.v.01|through.r.01	through	manual:through	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
to left of	left_of	spatial_lateral	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	542	0	be.v.01|leave.v.01	to left of	manual:to left of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
to right of	right_of	spatial_lateral	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	632	0	be.v.01|properly.r.01	to right of	manual:to right of	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
to the left of	left_of	spatial_lateral	high	yes	manual_relation_seed	0	0			manual:to the left of	manual_relation_seed
to the right of	right_of	spatial_lateral	high	yes	manual_relation_seed	0	0			manual:to the right of	manual_relation_seed
under	under	spatial_vertical	high	no	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	18459	18	be.v.01|under.r.01	under	manual:under	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count
underneath	under	spatial_vertical	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	1509	0	be.v.01	underneath	manual:underneath	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
walking in	walking_in	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	1660	0	be.v.01|in.r.01|walk.v.01	walking in	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
walking near	walking_near	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	154	0	about.r.07|be.v.01	walking near	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
walking next to	walking_next_to	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	113	0	be.v.01|walk.v.01	walking next to	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
walking on	walking_on	pose_location	high	yes	visual_genome_relationship_alias|visual_genome_relationship_count	4416	0	along.r.01|be.v.01|walk.v.01	walking on	regex:pose_location	visual_genome_relationship_alias|visual_genome_relationship_count
watching	watching	perception_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	3290	0	be.v.01|watch.v.01	watching	manual:watching	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
wearing	wearing	wearing_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	124834	0	be.v.01|call.v.03|consume.v.03|water.v.01|wear.v.01	wearing	manual:wearing	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
wears	wearing	wearing_relation	high	no	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count	14959	101	approach.v.01|wear.v.01	wears	manual:wears	manual_relation_seed|openimages_relationship_triplet|visual_genome_relationship_alias|visual_genome_relationship_count
with	with	association_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	63608	0	be.v.01	with	manual:with	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
within	inside	spatial_containment	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	122	0	be.v.01|inside.r.02	within	manual:within	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
without	without	association_relation	high	no	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	270	0	be.v.01	without	manual:without	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
worn by	worn_by	wearing_relation	high	yes	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count	1512	0	be.v.01|wear.v.01	worn by	manual:worn by	manual_relation_seed|visual_genome_relationship_alias|visual_genome_relationship_count
