term	count	synsets	alias_group
on an	402	along.r.01|be.v.01	on
are in a	399	be.v.01	in
skiing on	392	along.r.01|be.v.01	skiing on
carries	391	transport.v.02	carries
left of	390	be.v.01|leave.v.01	left of
grazing on	390	along.r.01|be.v.01	grazing on
waiting for	386	be.v.01|wait.v.01	waiting for
surfing in	381	be.v.01|in.r.01	surfing in
down	378	be.v.01|down.r.01	down
making	376	be.v.01|make.v.01	making
on side of a	374	along.r.01|be.v.01	on side of
feeding	364	be.v.01|feed.v.01	feeding
enjoying	362	be.v.01|enjoy.v.01	enjoying
running on	362	be.v.01|run.v.01	running on
taking	359	be.v.01|necessitate.v.01	taking
wrapped around	358	approximately.r.01|be.v.01|wind.v.03	wrapped around
covered by	358	be.v.01|traverse.v.01	covered by
reads	355	read.v.01	reads
surfing	354	be.v.01	surfing
going down	350	be.v.01|become.v.01	going down
that	349	be.v.01	that
parked at	347	be.v.01|park.v.01	parked at
are attached to	342	be.v.01	attached to
standing on top of	341	be.v.01|stand.v.01	standing on top of
at end of	339	be.v.01|end.v.01	at end of
stuck in	332	be.v.01|stay.v.02	stuck in
standing at	331	be.v.01|stand.v.01	standing at
parked by	329	be.v.01|by.r.01	parked by
colored	329	be.v.01|color.v.01	colored
are near	327	be.v.01	near
topping	327	be.v.01|exceed.v.02	topping
reflecting on	323	along.r.01|be.v.01	reflecting on
stacked on	322	along.r.01|be.v.01	stacked on
hold	320	be.v.01|have.v.01	hold
out of	313	away.r.02|be.v.01	out of
sitting next to	312	be.v.01|sit.v.01	sitting next to
are above	309	be.v.01	above
inside a	307	be.v.01|inside.r.01	inside
black	305	be.v.01|blacken.v.01	black
standing with	305	be.v.01|stand.v.01	standing with
having	305	be.v.01|have.v.01	having
has on a	304	have.v.01	has on
in the	302	in.r.01	in
cast on	299	along.r.01|be.v.01	cast on
parked	299	be.v.01|park.v.01	parked
standing on a	299	be.v.01|stand.v.01	standing on
sleeping on	299	along.r.01|be.v.01	sleeping on
surfing on	298	along.r.01|be.v.01	surfing on
located on	296	along.r.01|be.v.01	located on
flying over	296	be.v.01|fly.v.01	flying over
under a	293	be.v.01|under.r.01	under
wrapped in	293	be.v.01|in.r.01	wrapped in
are under	291	be.v.01	under
placed on	290	be.v.01|put.v.01	placed on
have a	290	have.v.01	have
stuck on	288	along.r.01|be.v.01	stuck on
into	287	be.v.01	into
at bottom of	286	be.v.01|penetrate.v.02	at bottom of
held in	285	be.v.01|have.v.01	held in
holding an	283	be.v.01|have.v.01	holding
for a	281	be.v.01	for
walking across	277	be.v.01|walk.v.01	walking across
parked on side of	277	along.r.01|be.v.01	parked on side of
overlooking	275	be.v.01|look.v.02|neglect.v.01	overlooking
plugged into	274	be.v.01|punch.v.01	plugged into
forming	274	be.v.01|form.v.01	forming
parked near	272	about.r.07|be.v.01	parked near
by a	271	be.v.01|by.r.01	by
without	270	be.v.01	without
doing	269	be.v.01|make.v.01	doing
parked next to	268	be.v.01|park.v.01	parked next to
perched on	267	along.r.01|be.v.01	perched on
side	265	be.v.01	side
floating on	265	along.r.01|be.v.01	floating on
on h	265	along.r.01|be.v.01	on h
being	264	be.v.01	being
kicking	263	be.v.01|complain.v.01	kicking
hanging off	262	away.r.01|be.v.01	hanging off
on surface of	261	along.r.01|be.v.01	on surface of
reflecting	258	be.v.01|chew_over.v.01	reflecting
among	255	be.v.01	among
visible on	254	along.r.01|be.v.01	visible on
are next to	253	be.v.01	next to
parked in front of	253	be.v.01|in.r.01|park.v.01	parked in front of
wear	252	wear.v.01	wear
in front of a	252	be.v.01|in.r.01	in front of
brushing	249	be.v.01|brush.v.04	brushing
watches	248	watch.v.01	watches
standing beside	248	be.v.01|stand.v.01	standing beside
sitting in a	247	be.v.01|in.r.01|sit.v.01	sitting in
seen in	247	be.v.01|see.v.01	seen in
blue	242	be.v.01	blue
reflected on	240	along.r.01|be.v.01	reflected on
reaching for	238	achieve.v.01|be.v.01	reaching for
surrounds	238	surround.v.01	surrounds
looking out	237	be.v.01|look.v.02	looking out
watch	237	be.v.01|watch.v.01	watch
working on	236	be.v.01|work.v.01	working on
holding onto	236	be.v.01|have.v.01	holding onto
supports	235	digest.v.03	supports
are at	235	be.v.01	at
hung on	235	along.r.01|be.v.01	hung on
on mans	232	along.r.01|be.v.01	on mans
petting	230	be.v.01|pet.v.01	petting
right of	229	be.v.01|properly.r.01	right of
casts	228	roll.v.12	casts
are in front of	228	be.v.01	in front of
line	228	trace.v.02	line
talking to	227	be.v.01|talk.v.01	talking to
plays	226	play.v.01	plays
are enjoying	225	be.v.01	enjoying
left	224	be.v.01|leave.v.01	left
flying a	224	be.v.01|fly.v.01	flying
across from	223	across.r.01|be.v.01	across from
on front	221	along.r.01|be.v.01	on front
skiing down	221	be.v.01|down.r.01	skiing down
bordering	220	be.v.01|surround.v.01	bordering
standing in a	219	be.v.01|stand.v.01	standing in
in center of	218	be.v.01|focus_on.v.01	in center of
running in	217	be.v.01|in.r.01|run.v.01	running in
parked along	216	along.r.01|be.v.01|park.v.01	parked along
drawn on	215	be.v.01|describe.v.01	drawn on
at edge of	212	be.v.01|border.v.05	at edge of
lying next to	211	be.v.01|lie.v.01	
in between	210	be.v.01|in.r.01	in between
sticking out	210	be.v.01|stay.v.02	sticking out
hangs from	207	hang.v.01	hangs from
side of	206	be.v.01	side of
seen through	205	be.v.01|see.v.01	seen through
looks at	205	look.v.02	
are by	203	be.v.01	by
eating from	201	be.v.01|eat.v.01	eating from
green	201	be.v.01	green
parked alongside	200	be.v.01|park.v.01	parked alongside
color	199	be.v.01|color.v.01	color
walking through	198	be.v.01|walk.v.01	walking through
over a	197	be.v.01|over.r.01	over
decorating	197	be.v.01|decorate.v.01	decorating
on face of	197	be.v.01|confront.v.02	on face of
cast by	196	be.v.01|roll.v.12	cast by
mounted to	195	be.v.01|climb.v.01	mounted to
attached	194	attach.v.01|be.v.01	attached
lying inside	194	lie.v.01	
sewn on	194	along.r.01|be.v.01	sewn on
wearing black	192	be.v.01|wear.v.01	
sitting by	191	be.v.01|sit.v.01	sitting by
drinking from	191	be.v.01|drink.v.01	drinking from
beside of	191	be.v.01	beside of
riding in	190	be.v.01|depend_on.v.01	riding in
stands on	189	along.r.01|stand.v.01	stands on
i	188	be.v.01	i
topped with	187	be.v.01|exceed.v.02	topped with
is in	186	be.v.01	in
connecting	185	associate.v.01|be.v.01	connecting
sitting in front of	183	be.v.01|sit.v.01	sitting in front of
growing	183	be.v.01|turn.v.07	growing
of the	183		of
red	182	be.v.01	red
on right side of	181	along.r.01|be.v.01	on right side of
cover	180	be.v.01|traverse.v.01	cover
on left side of	180	be.v.01|leave.v.01	on left side of
are wearing	180	be.v.01	wearing
skiing in	180	be.v.01|in.r.01	skiing in
standing under	179	be.v.01|stand.v.01|under.r.01	standing under
eating a	179	be.v.01|eat.v.01	eating
top of	178	be.v.01|exceed.v.02	top of
using a	177	be.v.01|use.v.01	using
holds a	174	have.v.01	holds
painted	173	be.v.01|paint.v.01	painted
hanging on a	173	along.r.01|be.v.01	hanging on
in an	173	be.v.01|in.r.01	in
right	172	be.v.01|properly.r.01	
on end of	172	be.v.01|end.v.01	on end of
shining through	171	be.v.01|glitter.v.01|through.r.01	
sitting inside	171	be.v.01|inside.r.01|sit.v.01	sitting inside
stopped at	171	be.v.01|discontinue.v.01	stopped at
walking by	170	be.v.01|walk.v.01	walking by
walking along	170	along.r.01|be.v.01|walk.v.01	walking along
carry	169	transport.v.02	carry
brown	169	be.v.01|brown.v.01	brown
are for	168	be.v.01	for
laying	166	be.v.01|put.v.01	laying
serving	166	be.v.01|serve.v.01	serving
grazing	165	be.v.01|crop.v.05	grazing
are beside	163	be.v.01	beside
looking in	163	be.v.01|look.v.02	looking in
attached to a	163	attach.v.01|be.v.01	attached to
appearing in	163	look.v.02	
with no	163	no.r.01	
securing	162	be.v.01|guarantee.v.02	securing
grabbing	162	be.v.01|catch.v.04	grabbing
besides	160	be.v.01|besides.r.02	besides
leading	160	be.v.01|lead.v.01	leading
casted on	160	along.r.01	casted on
are inside	159	be.v.01	inside
following	159	be.v.01|be.v.08	following
and a	159		and
are sitting on	158	be.v.01	sitting on
standing inside	158	be.v.01|stand.v.01	standing inside
flying above	158	be.v.01|fly.v.01	flying above
to a	157	be.v.01	to
leaving	157	be.v.01|leave.v.01	leaving
along side of	156	along.r.01|be.v.01	along side of
has no	155	have.v.01	
gripping	155	be.v.01|grip.v.01	gripping
walking near	154	about.r.07|be.v.01	walking near
flying through	154	be.v.01|fly.v.01	flying through
boarding	153	be.v.01|board.v.01	boarding
has black	152	have.v.01	
waiting on	152	be.v.01|wait.v.01	waiting on
on other side of	152	along.r.01|be.v.01	on other side of
on her	151	along.r.01|be.v.01	
sniffing	151	be.v.01|sniff.v.01	sniffing
separating	150	be.v.01|divide.v.01	
on left of	149	be.v.01|leave.v.01	on left of
pointing	148	be.v.01|indicate.v.02	pointing
displayed on	147	along.r.01|be.v.01	displayed on
and white	147	whiten.v.01	
growing next to	146	be.v.01|turn.v.07	growing next to
growing behind	146	be.v.01|behind.r.01|turn.v.07	growing behind
laying on a	146	be.v.01|put.v.01	laying on
hangs on	145	along.r.01	hangs on
holding a	145	be.v.01|have.v.01	holding
growing near	145	about.r.07|be.v.01	growing near
sitting behind	144	be.v.01|sit.v.01	sitting behind
hits	144	reach.v.01	hits
draped over	143	be.v.01|over.r.01	draped over
apart of	143	apart.r.01|be.v.01	apart of
reflecting in	143	be.v.01|chew_over.v.01	reflecting in
around a	142	approximately.r.01|be.v.01	around
reflecting off	142	away.r.01|be.v.01	
licking	142	be.v.01|solve.v.01	licking
growing from	141	be.v.01|turn.v.07	growing from
sitting near	140	about.r.07|be.v.01	sitting near
in corner of	140	be.v.01|in.r.01	in corner of
sits in	140	sit.v.01	sits in
are on side of	140	be.v.01	on side of
are inside of	139	be.v.01	inside of
sitting under	139	be.v.01|sit.v.01	sitting under
crashing on	139	along.r.01|be.v.01	crashing on
uses	138	use.v.01	uses
formed in	138	form.v.01	formed in
chasing	138	be.v.01|chase.v.01	chasing
walking on a	137	be.v.01|walk.v.01	walking on
selling	136	be.v.01|sell.v.01	selling
entering	136	be.v.01|enter.v.01	entering
with an	135	be.v.01	with
walking up	135	be.v.01|up.r.01|walk.v.01	walking up
sitting with	134	be.v.01|sit.v.01	sitting with
pulling a	133	be.v.01|pull.v.01	pulling
leaning over	132	be.v.01|tend.v.01	leaning over
on head of	132	along.r.01|be.v.01	on head of
served on	132	along.r.01|be.v.01	served on
swinging a	131	be.v.01|swing.v.01	swinging
makes	130	make.v.01	makes
parked behind	130	be.v.01|behind.r.01	parked behind
train	130	be.v.01|train.v.01	
biting	130	be.v.01|bite.v.01	biting
lines	129	trace.v.02	lines
are over	128	be.v.01	over
matches	128	match.v.01	
displaying	128	be.v.01|expose.v.03	displaying
wearing an	128	be.v.01|wear.v.01	wearing
has white	127	have.v.01	
ten	126	be.v.01	ten
before	125	be.v.01|earlier.r.01	before
parked beside	124	be.v.01|park.v.01	parked beside
hugging	124	be.v.01|embrace.v.02	hugging
located in	123	be.v.01|in.r.01	located in
within	122	be.v.01|inside.r.02	within
are holding	122	be.v.01	holding
light	121	be.v.01|light.v.01	light
on right of	121	along.r.01|be.v.01	on right of
hanging out of	120	be.v.01|hang.v.01	hanging out of
balancing on	120	along.r.01|be.v.01	balancing on
in h	119	be.v.01|in.r.01	
swings	119	swing.v.01	swings
moving	118	be.v.01|travel.v.01	moving
jumping on	117	along.r.01|be.v.01	jumping on
approaching	116	approach.v.01|be.v.01	approaching
made from	116	be.v.01|make.v.01	made from
walking behind	116	be.v.01|walk.v.01	walking behind
tied around	116	approximately.r.01|be.v.01	tied around
kneeling on	116	along.r.01|be.v.01	kneeling on
herding	116	be.v.01|herd.v.01	herding
visible in	114	be.v.01|in.r.01	visible in
are around	114	be.v.01	around
jumping	114	be.v.01|jump.v.01	jumping
stands in	114	be.v.01|in.r.01|stand.v.01	stands in
are playing at	114	be.v.01	playing at
walking next to	113	be.v.01|walk.v.01	walking next to
inside of a	113	be.v.01|inside.r.01	inside of
waiting at	113	be.v.01|wait.v.01	waiting at
walking to	113	be.v.01|walk.v.01	walking to
helping	113	be.v.01|help.v.01	helping
wearing blue	113	be.v.01|wear.v.01	wearing blue
looking over	113	be.v.01|look.v.02	looking over
skiing	113	be.v.01	skiing
walking towards	112	be.v.01|walk.v.01	walking towards
marking	112	be.v.01|notice.v.02	marking
carried by	111	be.v.01|transport.v.02	carried by
shown in	111	be.v.01|show.v.01	shown in
seated on	111	along.r.01|be.v.01	seated on
sit on	110	sit.v.01	sit on
meets	110	meet.v.01	
surround	110	be.v.01|surround.v.01	surround
are watching	110	be.v.01	watching
jumping over	109	be.v.01|jump.v.01	jumping over
say	109	state.v.01	
staring at	109	be.v.01|gaze.v.01	
in mans	109	be.v.01|in.r.01	
taken	108	be.v.01|necessitate.v.01	taken
out	108	away.r.02|be.v.01	out
posted on	107	along.r.01|be.v.01	posted on
lifting	107	be.v.01|raise.v.02	lifting
blocking	106	be.v.01|stop.v.03	blocking
passing	106	be.v.01|happen.v.01	passing
grasping	106	be.v.01|grok.v.01	grasping
traveling on	106	along.r.01|be.v.01|travel.v.01	traveling on
raising	106	be.v.01|raise.v.02	raising
pulls	106	pull.v.01	pulls
on back	105	back.r.01|be.v.01	on back
has many	105	have.v.01	has many
cooking in	105	be.v.01|cook.v.02	cooking in
swinging at	105	be.v.01|swing.v.01	swinging at
past	104	be.v.01|by.r.01	past
leads to	104	lead.v.01	leads to
up	104	be.v.01|up.r.01	up
up in	104	be.v.01|up.r.01	up in
number	103	be.v.01|total.v.01	
pulled by	103	be.v.01|pull.v.01	pulled by
skateboarding on	103	along.r.01|be.v.01	skateboarding on
mixed with	103	be.v.01|blend.v.03	mixed with
affixed to	102	affix.v.01|be.v.01	
protecting	102	be.v.01|protect.v.01	protecting
eating in	102	be.v.01|eat.v.01	eating in
yellow	102	be.v.01|yellow.v.01	
being held by	102	be.v.01	being held by
getting	101	be.v.01|get_down.v.07	getting
opening	101	be.v.01|open.v.01	opening
dividing	101	be.v.01|divide.v.01	
giving	101	be.v.01|give.v.01	giving
at base of	100	be.v.01|establish.v.08	at base of
extending	100	be.v.01|run.v.03	extending
reflects	100	chew_over.v.01	reflects
pointing at	99	be.v.01|indicate.v.02	pointing at
written in	99	be.v.01|write.v.01	written in
with white	99	whiten.v.01	
growing by	99	be.v.01|by.r.01|turn.v.07	growing by
rests on	97	be.v.01|stay.v.01	rests on
cut into	97	be.v.01|reduce.v.01	cut into
standing alongside	97	stand.v.01	standing alongside
in side of	97	be.v.01|in.r.01	in side of
on corner of	97	along.r.01|be.v.01	on corner of
from a	97	be.v.01	from
touches	96	refer.v.02	touches
sitting at a	96	be.v.01|sit.v.01	sitting at
painted in	96	be.v.01|in.r.01	painted in
used for	96	be.v.01|use.v.01	used for
back of	96	back.r.01|be.v.01	back of
leaning	96	be.v.01|tend.v.01	
growing along	96	be.v.01|turn.v.07	growing along
support	96	digest.v.03	support
coming through	96	arrive.v.01|be.v.01	coming through
crosses	95	traverse.v.01	
decorated with	95	be.v.01|decorate.v.01	decorated with
fixing	95	be.v.01|fix.v.12	fixing
moving on	94	be.v.01|travel.v.01	moving on
street	94		street
out in	94	away.r.02|be.v.01	out in
stopped on	94	be.v.01|discontinue.v.01	stopped on
has two	94	have.v.01	
falling on	94	along.r.01|be.v.01	
resting in	94	be.v.01|stay.v.01	resting in
face	94	be.v.01|confront.v.02	face
used by	93	be.v.01|use.v.01	used by
breaking on	93	along.r.01|be.v.01|unwrap.v.02	breaking on
going	93	be.v.01|become.v.01	going
running	93	be.v.01|run.v.01	running
looking into	93	be.v.01|look.v.02	looking into
bending	93	be.v.01|bend.v.01	bending
getting on	93	be.v.01|get_down.v.07	getting on
throws	93	hold.v.03	throws
visible through	93	be.v.01|through.r.01	visible through
shown on	93	be.v.01|show.v.01	shown on
mounted in	92	be.v.01|climb.v.01	mounted in
above a	92	above.r.01|be.v.01	above
pouring	92	be.v.01|pour.v.01	pouring
throwing a	92	be.v.01|hold.v.03	throwing
at front of	91	be.v.01|front.v.01	at front of
along side	91	along.r.01|be.v.01	along side
on womans	91	along.r.01|be.v.01	on womans
coming off	91	arrive.v.01|be.v.01	coming off
taped to	90	be.v.01|record.v.02	taped to
has brown	90	have.v.01	
are standing on	90	be.v.01	standing on
coming down	90	arrive.v.01|be.v.01	coming down
in blue	90	in.r.01	in blue
faces	90	confront.v.02	
beside a	90	be.v.01	beside
riding on a	90	along.r.01|be.v.01	riding on
threw	90	hold.v.03	threw
lined with	89	be.v.01|trace.v.02	lined with
wearing white	89	be.v.01|wear.v.01	wearing white
scattered on	89	along.r.01|be.v.01	scattered on
back	89	back.r.01|be.v.01	back
made by	89	be.v.01|make.v.01	made by
splashing	89	be.v.01|sprinkle.v.02	splashing
running through	88	be.v.01|run.v.01	running through
piled on	88	along.r.01|be.v.01	piled on
laying down on	88	be.v.01|put.v.01	laying down on
going up	88	be.v.01|become.v.01	going up
attached on	88	along.r.01|be.v.01	attached on
made with	88	be.v.01|make.v.01	made with
walking toward	87	be.v.01|walk.v.01	walking toward
saying	87	be.v.01|state.v.01	
open on	87	be.v.01|open.v.01	open on
growing beside	87	be.v.01|turn.v.07	growing beside
preparing	87	be.v.01|fix.v.12	preparing
orange	87	be.v.01	orange
stuck to	87	be.v.01|stay.v.02	stuck to
going through	87	be.v.01|become.v.01	going through
washing	87	be.v.01|wash.v.01	
wooden	86		
hanging from a	86	be.v.01|hang.v.01	hanging from
during	86	be.v.01	
protruding from	85	be.v.01|stick_out.v.01	
in her	85	be.v.01|in.r.01	in her
parked in a	85	be.v.01|in.r.01	parked in
hit	85	reach.v.01	hit
filled	84	be.v.01|fill.v.01	
enclosing	84	be.v.01|insert.v.02	enclosing
spraying	84	be.v.01|spray.v.01	spraying
looking down at	84	be.v.01|look.v.02	looking down at
going to	83	be.v.01|become.v.01	going to
on or side of	83	along.r.01|be.v.01	on or side of
at side of	83	be.v.01	at side of
casting a	83	be.v.01|roll.v.12	casting
placed in	83	be.v.01|put.v.01	placed in
sleeping in	83	be.v.01|in.r.01|sleep.v.01	sleeping in
worn	83	be.v.01|wear.v.01	worn
reading a	82	be.v.01|read.v.01	reading
displays	82	expose.v.03	displays
on outside of	82	along.r.01|be.v.01	on outside of
catching a	82	be.v.01|watch.v.03	catching
doing trick on	82	be.v.01|make.v.01	doing trick on
kept in	82	be.v.01|keep.v.01	kept in
not	81	be.v.01|not.r.01	not
holding on to	81	be.v.01|have.v.01	holding on to
walks on	81	walk.v.01	
walking beside	81	be.v.01|walk.v.01	walking beside
exiting	81	be.v.01|die.v.01	exiting
tying	81	be.v.01|tie.v.01	tying
blowing out	81	be.v.01|float.v.01	
small	80		small
climbing	80	be.v.01|climb.v.01	climbing
made out of	79	be.v.01|make.v.01	
metal	79	be.v.01	metal
on front of a	79	along.r.01|be.v.01	on front of
